Stimmbezirk,ParteiKuerzel,Stimmen
Gesamt,CSU,7129
Gesamt,SPD,1790
Gesamt,Grüne,2704
Gesamt,FDP,946
Gesamt,AfD,1560
Gesamt,FW,366
Gesamt,Die Linke,514
Gesamt,ÖDP,116
Gesamt,Volt,189
Gesamt,Einzelbewerber,74
Stimmbezirk 1,CSU,318
Stimmbezirk 1,SPD,41
Stimmbezirk 1,Grüne,65
Stimmbezirk 1,FDP,26
Stimmbezirk 1,AfD,117
Stimmbezirk 1,FW,13
Stimmbezirk 1,Die Linke,28
Stimmbezirk 1,ÖDP,8
Stimmbezirk 1,Volt,3
Stimmbezirk 1,Einzelbewerber,2
Stimmbezirk 2,CSU,207
Stimmbezirk 2,SPD,37
Stimmbezirk 2,Grüne,49
Stimmbezirk 2,FDP,19
Stimmbezirk 2,AfD,64
Stimmbezirk 2,FW,10
Stimmbezirk 2,Die Linke,13
Stimmbezirk 2,ÖDP,0
Stimmbezirk 2,Volt,1
Stimmbezirk 2,Einzelbewerber,5
Stimmbezirk 3,CSU,189
Stimmbezirk 3,SPD,76
Stimmbezirk 3,Grüne,97
Stimmbezirk 3,FDP,32
Stimmbezirk 3,AfD,44
Stimmbezirk 3,FW,9
Stimmbezirk 3,Die Linke,29
Stimmbezirk 3,ÖDP,4
Stimmbezirk 3,Volt,2
Stimmbezirk 3,Einzelbewerber,1
Stimmbezirk 4,CSU,165
Stimmbezirk 4,SPD,59
Stimmbezirk 4,Grüne,88
Stimmbezirk 4,FDP,20
Stimmbezirk 4,AfD,62
Stimmbezirk 4,FW,8
Stimmbezirk 4,Die Linke,19
Stimmbezirk 4,ÖDP,1
Stimmbezirk 4,Volt,3
Stimmbezirk 4,Einzelbewerber,1
Stimmbezirk 5,CSU,136
Stimmbezirk 5,SPD,34
Stimmbezirk 5,Grüne,64
Stimmbezirk 5,FDP,23
Stimmbezirk 5,AfD,61
Stimmbezirk 5,FW,3
Stimmbezirk 5,Die Linke,13
Stimmbezirk 5,ÖDP,3
Stimmbezirk 5,Volt,3
Stimmbezirk 5,Einzelbewerber,2
Stimmbezirk 6,CSU,231
Stimmbezirk 6,SPD,55
Stimmbezirk 6,Grüne,63
Stimmbezirk 6,FDP,30
Stimmbezirk 6,AfD,90
Stimmbezirk 6,FW,7
Stimmbezirk 6,Die Linke,24
Stimmbezirk 6,ÖDP,6
Stimmbezirk 6,Volt,7
Stimmbezirk 6,Einzelbewerber,3
Stimmbezirk 7,CSU,215
Stimmbezirk 7,SPD,54
Stimmbezirk 7,Grüne,101
Stimmbezirk 7,FDP,30
Stimmbezirk 7,AfD,62
Stimmbezirk 7,FW,9
Stimmbezirk 7,Die Linke,21
Stimmbezirk 7,ÖDP,3
Stimmbezirk 7,Volt,7
Stimmbezirk 7,Einzelbewerber,1
Stimmbezirk 8,CSU,208
Stimmbezirk 8,SPD,62
Stimmbezirk 8,Grüne,78
Stimmbezirk 8,FDP,34
Stimmbezirk 8,AfD,62
Stimmbezirk 8,FW,18
Stimmbezirk 8,Die Linke,18
Stimmbezirk 8,ÖDP,3
Stimmbezirk 8,Volt,3
Stimmbezirk 8,Einzelbewerber,1
Stimmbezirk 9,CSU,178
Stimmbezirk 9,SPD,81
Stimmbezirk 9,Grüne,89
Stimmbezirk 9,FDP,24
Stimmbezirk 9,AfD,67
Stimmbezirk 9,FW,7
Stimmbezirk 9,Die Linke,14
Stimmbezirk 9,ÖDP,2
Stimmbezirk 9,Volt,8
Stimmbezirk 9,Einzelbewerber,1
Stimmbezirk 10,CSU,143
Stimmbezirk 10,SPD,67
Stimmbezirk 10,Grüne,62
Stimmbezirk 10,FDP,27
Stimmbezirk 10,AfD,35
Stimmbezirk 10,FW,7
Stimmbezirk 10,Die Linke,24
Stimmbezirk 10,ÖDP,4
Stimmbezirk 10,Volt,4
Stimmbezirk 10,Einzelbewerber,3
Stimmbezirk 11,CSU,182
Stimmbezirk 11,SPD,52
Stimmbezirk 11,Grüne,64
Stimmbezirk 11,FDP,21
Stimmbezirk 11,AfD,56
Stimmbezirk 11,FW,10
Stimmbezirk 11,Die Linke,16
Stimmbezirk 11,ÖDP,3
