Stimmbezirk,Wahlberechtigte,Waehler,UngueltigeStimmen,GueltigeStimmen
Gesamt,17421,15445,57,15388
Stimmbezirk 1,1480,625,4,621
Stimmbezirk 2,938,406,1,405
Stimmbezirk 3,1096,483,0,483
Stimmbezirk 4,1068,428,2,426
Stimmbezirk 5,1116,342,0,342
Stimmbezirk 6,1331,520,4,516
Stimmbezirk 7,1245,504,1,503
Stimmbezirk 8,1336,489,2,487
Stimmbezirk 9,1160,471,0,471
Stimmbezirk 10,957,379,3,376
Stimmbezirk 11,1047,412,5,407
Stimmbezirk 12,1059,404,3,401
Stimmbezirk 13,1191,473,2,471
Stimmbezirk 14,1030,390,2,388
Stimmbezirk 15,1367,603,3,600
Stimmbezirk 31,0,661,3,658
Stimmbezirk 32,0,438,3,435
Stimmbezirk 33,0,517,1,516
Stimmbezirk 34,0,538,2,536
Stimmbezirk 35,0,558,1,557
Stimmbezirk 36,0,653,2,651
Stimmbezirk 37,0,607,0,607
Stimmbezirk 38,0,686,1,685
Stimmbezirk 39,0,592,0,592
Stimmbezirk 40,0,473,0,473
Stimmbezirk 41,0,514,1,513
Stimmbezirk 42,0,556,5,551
Stimmbezirk 43,0,603,0,603
Stimmbezirk 44,0,516,3,513
Stimmbezirk 45,0,604,3,601
