datum,ort,neuPositiv,inzidenz7tage
2020-08-20,Anzing,0,0
2020-08-21,Anzing,0,0
2020-08-22,Anzing,0,0
2020-08-23,Anzing,0,0
2020-08-24,Anzing,0,0
2020-08-25,Anzing,0,0
2020-08-26,Anzing,0,0
2020-08-27,Anzing,0,0
2020-08-28,Anzing,0,0
2020-08-29,Anzing,0,0
2020-08-30,Anzing,0,0
2020-08-31,Anzing,0,0
2020-09-01,Anzing,0,0
2020-09-02,Anzing,0,0
2020-09-03,Anzing,0,0
2020-09-04,Anzing,0,0
2020-09-05,Anzing,0,0
2020-09-06,Anzing,0,0
2020-09-07,Anzing,0,0
2020-09-08,Anzing,0,0
2020-09-09,Anzing,0,0
2020-09-10,Anzing,0,0
2020-09-11,Anzing,0,0
2020-09-12,Anzing,0,0
2020-09-13,Anzing,0,0
2020-09-14,Anzing,1,22.57
2020-09-15,Anzing,0,22.57
2020-09-16,Anzing,0,22.57
2020-09-17,Anzing,1,45.15
2020-09-18,Anzing,0,45.15
2020-09-19,Anzing,0,45.15
2020-09-20,Anzing,0,45.15
2020-09-21,Anzing,0,22.57
2020-09-22,Anzing,0,22.57
2020-09-23,Anzing,0,22.57
2020-09-24,Anzing,0,0
2020-09-25,Anzing,0,0
2020-09-26,Anzing,0,0
2020-09-27,Anzing,0,0
2020-09-28,Anzing,0,0
2020-09-29,Anzing,0,0
2020-09-30,Anzing,0,0
2020-10-01,Anzing,0,0
2020-10-02,Anzing,0,0
2020-10-03,Anzing,0,0
2020-10-04,Anzing,0,0
2020-10-05,Anzing,0,0
2020-10-06,Anzing,0,0
2020-10-07,Anzing,0,0
2020-10-08,Anzing,0,0
2020-10-09,Anzing,0,0
2020-10-10,Anzing,0,0
2020-10-11,Anzing,0,0
2020-10-12,Anzing,0,0
2020-10-13,Anzing,0,0
2020-10-14,Anzing,3,67.72
2020-10-15,Anzing,0,67.72
2020-10-16,Anzing,0,67.72
2020-10-17,Anzing,0,67.72
2020-10-18,Anzing,2,112.87
2020-10-19,Anzing,1,135.44
2020-10-20,Anzing,2,180.59
2020-10-21,Anzing,1,135.44
2020-10-22,Anzing,1,158.01
2020-10-23,Anzing,0,158.01
2020-10-24,Anzing,0,158.01
2020-10-25,Anzing,1,135.44
2020-10-26,Anzing,0,112.87
2020-10-27,Anzing,1,90.29
2020-10-28,Anzing,1,90.29
2020-10-29,Anzing,1,90.29
2020-10-30,Anzing,0,90.29
2020-10-31,Anzing,0,90.29
2020-11-01,Anzing,0,67.72
2020-11-02,Anzing,1,90.29
2020-11-03,Anzing,0,67.72
2020-11-04,Anzing,2,90.29
2020-11-05,Anzing,1,90.29
2020-11-06,Anzing,1,112.87
2020-11-07,Anzing,2,158.01
2020-11-08,Anzing,0,158.01
2020-11-09,Anzing,0,135.44
2020-11-10,Anzing,3,203.16
2020-11-11,Anzing,3,225.73
2020-11-12,Anzing,5,316.03
2020-11-13,Anzing,1,316.03
2020-11-14,Anzing,0,270.88
2020-11-15,Anzing,0,270.88
2020-11-16,Anzing,0,270.88
2020-11-17,Anzing,1,225.73
2020-11-18,Anzing,0,158.01
2020-11-19,Anzing,3,112.87
2020-11-20,Anzing,2,135.44
2020-11-21,Anzing,1,158.01
2020-11-22,Anzing,0,158.01
2020-11-23,Anzing,1,180.59
2020-11-24,Anzing,2,203.16
2020-11-25,Anzing,1,225.73
2020-11-26,Anzing,1,180.59
2020-11-27,Anzing,1,158.01
2020-11-28,Anzing,0,135.44
2020-11-29,Anzing,1,158.01
2020-11-30,Anzing,0,135.44
2020-12-01,Anzing,2,135.44
2020-12-02,Anzing,1,135.44
2020-12-03,Anzing,0,112.87
2020-12-04,Anzing,3,158.01
2020-12-05,Anzing,1,180.59
2020-12-06,Anzing,0,158.01
2020-12-07,Anzing,0,158.01
2020-12-08,Anzing,2,158.01
2020-12-09,Anzing,1,158.01
2020-12-10,Anzing,3,225.73
2020-12-11,Anzing,2,203.16
2020-12-12,Anzing,0,180.59
2020-12-13,Anzing,0,180.59
2020-12-14,Anzing,1,203.16
2020-12-15,Anzing,4,248.31
2020-12-16,Anzing,4,316.03
2020-12-17,Anzing,2,293.45
2020-12-18,Anzing,0,248.31
2020-12-19,Anzing,0,248.31
2020-12-20,Anzing,0,248.31
2020-12-21,Anzing,0,225.73
2020-12-22,Anzing,0,135.44
2020-12-23,Anzing,3,112.87
