datum,altersgruppe,neuPositiv,inzidenz7tage
2020-07-25,15-34,0,3.18
2020-07-25,35-59,2,5.41
2020-07-25,60-79,0,0
2020-07-25,80+,0,0
2020-07-26,00-04,0,0
2020-07-26,05-14,0,6.59
2020-07-26,15-34,0,3.18
2020-07-26,35-59,0,5.41
2020-07-26,60-79,0,0
2020-07-26,80+,0,0
2020-07-27,00-04,0,0
2020-07-27,05-14,0,6.59
2020-07-27,15-34,0,3.18
2020-07-27,35-59,0,5.41
2020-07-27,60-79,0,0
2020-07-27,80+,0,0
2020-07-28,00-04,0,0
2020-07-28,05-14,0,6.59
2020-07-28,15-34,1,6.36
2020-07-28,35-59,1,7.21
2020-07-28,60-79,1,3.69
2020-07-28,80+,0,0
2020-07-29,00-04,0,0
2020-07-29,05-14,0,0
2020-07-29,15-34,0,6.36
2020-07-29,35-59,1,7.21
2020-07-29,60-79,0,3.69
2020-07-29,80+,0,0
2020-07-30,00-04,0,0
2020-07-30,05-14,0,0
2020-07-30,15-34,0,6.36
2020-07-30,35-59,0,7.21
2020-07-30,60-79,0,3.69
2020-07-30,80+,0,0
2020-07-31,00-04,0,0
2020-07-31,05-14,0,0
2020-07-31,15-34,0,3.18
2020-07-31,35-59,0,7.21
2020-07-31,60-79,0,3.69
2020-07-31,80+,0,0
2020-08-01,00-04,0,0
2020-08-01,05-14,0,0
2020-08-01,15-34,0,3.18
2020-08-01,35-59,0,3.6
2020-08-01,60-79,0,3.69
2020-08-01,80+,0,0
2020-08-02,00-04,0,0
2020-08-02,05-14,0,0
2020-08-02,15-34,0,3.18
2020-08-02,35-59,0,3.6
2020-08-02,60-79,1,7.37
2020-08-02,80+,0,0
2020-08-03,00-04,0,0
2020-08-03,05-14,0,0
2020-08-03,15-34,0,3.18
2020-08-03,35-59,1,5.41
2020-08-03,60-79,0,7.37
2020-08-03,80+,0,0
2020-08-04,00-04,0,0
2020-08-04,05-14,0,0
2020-08-04,15-34,0,0
2020-08-04,35-59,0,3.6
2020-08-04,60-79,0,3.69
2020-08-04,80+,0,0
2020-08-05,00-04,0,0
2020-08-05,05-14,0,0
2020-08-05,15-34,0,0
2020-08-05,35-59,0,1.8
2020-08-05,60-79,0,3.69
2020-08-05,80+,0,0
2020-08-06,00-04,0,0
2020-08-06,05-14,0,0
2020-08-06,15-34,1,3.18
2020-08-06,35-59,0,1.8
2020-08-06,60-79,0,3.69
2020-08-06,80+,0,0
2020-08-07,00-04,0,0
2020-08-07,05-14,0,0
2020-08-07,15-34,0,3.18
2020-08-07,35-59,0,1.8
2020-08-07,60-79,0,3.69
2020-08-07,80+,0,0
2020-08-08,00-04,0,0
2020-08-08,05-14,0,0
2020-08-08,15-34,1,6.36
2020-08-08,35-59,0,1.8
2020-08-08,60-79,0,3.69
2020-08-08,80+,0,0
2020-08-09,00-04,0,0
2020-08-09,05-14,0,0
2020-08-09,15-34,0,6.36
2020-08-09,35-59,0,1.8
2020-08-09,60-79,0,0
2020-08-09,80+,0,0
2020-08-10,00-04,0,0
2020-08-10,05-14,0,0
2020-08-10,15-34,0,6.36
2020-08-10,35-59,0,0
2020-08-10,60-79,1,3.69
2020-08-10,80+,0,0
2020-08-11,00-04,0,0
2020-08-11,05-14,0,0
2020-08-11,15-34,0,6.36
2020-08-11,35-59,0,0
2020-08-11,60-79,0,3.69
2020-08-11,80+,0,0
2020-08-12,00-04,0,0
2020-08-12,05-14,0,0
2020-08-12,15-34,2,12.73
2020-08-12,35-59,1,1.8
2020-08-12,60-79,1,7.37
2020-08-12,80+,0,0
2020-08-13,00-04,0,0
2020-08-13,05-14,0,0
2020-08-13,15-34,1,12.73
2020-08-13,35-59,1,3.6
2020-08-13,60-79,0,7.37
2020-08-13,80+,0,0
2020-08-14,00-04,0,0
2020-08-14,05-14,0,0
2020-08-14,15-34,3,22.27
2020-08-14,35-59,0,3.6
2020-08-14,60-79,0,7.37
2020-08-14,80+,0,0
2020-08-15,00-04,0,0
2020-08-15,05-14,0,0
2020-08-15,15-34,1,22.27
2020-08-15,35-59,2,7.21
2020-08-15,60-79,0,7.37
2020-08-15,80+,1,11.07
2020-08-16,00-04,0,0
2020-08-16,05-14,1,6.59
2020-08-16,15-34,4,35.0
2020-08-16,35-59,0,7.21
2020-08-16,60-79,0,7.37
2020-08-16,80+,0,11.07
2020-08-17,00-04,0,0
2020-08-17,05-14,3,26.36
2020-08-17,15-34,6,54.09
2020-08-17,35-59,5,16.22
2020-08-17,60-79,1,7.37
2020-08-17,80+,0,11.07
2020-08-18,00-04,0,0
2020-08-18,05-14,0,26.36
2020-08-18,15-34,3,63.63
2020-08-18,35-59,2,19.82
2020-08-18,60-79,0,7.37
2020-08-18,80+,0,11.07
2020-08-19,00-04,0,0
2020-08-19,05-14,0,26.36
2020-08-19,15-34,5,73.18
2020-08-19,35-59,2,21.62
2020-08-19,60-79,1,7.37
2020-08-19,80+,0,11.07
2020-08-20,00-04,0,0
2020-08-20,05-14,1,32.95
2020-08-20,15-34,3,79.54
2020-08-20,35-59,5,28.83
2020-08-20,60-79,0,7.37
2020-08-20,80+,0,11.07
2020-08-21,00-04,0,0
2020-08-21,05-14,0,32.95
2020-08-21,15-34,2,76.36
2020-08-21,35-59,3,34.24
2020-08-21,60-79,0,7.37
2020-08-21,80+,0,11.07
2020-08-22,00-04,0,0
2020-08-22,05-14,1,39.54
2020-08-22,15-34,6,92.27
2020-08-22,35-59,4,37.84
2020-08-22,60-79,0,7.37
2020-08-22,80+,0,0
2020-08-23,00-04,0,0
2020-08-23,05-14,0,32.95
2020-08-23,15-34,1,82.72
2020-08-23,35-59,0,37.84
2020-08-23,60-79,0,7.37
2020-08-23,80+,0,0
2020-08-24,00-04,0,0
2020-08-24,05-14,0,13.18
2020-08-24,15-34,1,66.82
2020-08-24,35-59,1,30.64
2020-08-24,60-79,0,3.69
2020-08-24,80+,0,0
2020-08-25,00-04,0,0
2020-08-25,05-14,2,26.36
2020-08-25,15-34,6,76.36
2020-08-25,35-59,1,28.83
2020-08-25,60-79,0,3.69
2020-08-25,80+,1,11.07
2020-08-26,00-04,0,0
2020-08-26,05-14,1,32.95
2020-08-26,15-34,2,66.82
2020-08-26,35-59,0,25.23
2020-08-26,60-79,0,0
2020-08-26,80+,0,11.07
2020-08-27,00-04,0,0
2020-08-27,05-14,1,32.95
2020-08-27,15-34,1,60.45
2020-08-27,35-59,2,19.82
2020-08-27,60-79,0,0
2020-08-27,80+,0,11.07
2020-08-28,00-04,0,0
2020-08-28,05-14,1,39.54
2020-08-28,15-34,1,57.27
2020-08-28,35-59,4,21.62
2020-08-28,60-79,0,0
2020-08-28,80+,0,11.07
2020-08-29,00-04,0,0
2020-08-29,05-14,0,32.95
2020-08-29,15-34,3,47.73
2020-08-29,35-59,0,14.42
2020-08-29,60-79,0,0
2020-08-29,80+,0,11.07
2020-08-30,00-04,0,0
2020-08-30,05-14,0,32.95
2020-08-30,15-34,0,44.54
2020-08-30,35-59,0,14.42
2020-08-30,60-79,0,0
2020-08-30,80+,0,11.07
2020-08-31,00-04,0,0
2020-08-31,05-14,0,32.95
2020-08-31,15-34,2,47.73
2020-08-31,35-59,1,14.42
2020-08-31,60-79,0,0
2020-08-31,80+,0,11.07
2020-09-01,00-04,0,0
2020-09-01,05-14,0,19.77
2020-09-01,15-34,2,35.0
2020-09-01,35-59,0,12.61
2020-09-01,60-79,0,0
2020-09-01,80+,0,0
2020-09-02,00-04,1,17.12
2020-09-02,05-14,1,19.77
2020-09-02,15-34,5,44.54
2020-09-02,35-59,2,16.22
2020-09-02,60-79,0,0
2020-09-02,80+,0,0
2020-09-03,00-04,0,17.12
2020-09-03,05-14,1,19.77
2020-09-03,15-34,3,50.91
2020-09-03,35-59,0,12.61
2020-09-03,60-79,0,0
2020-09-03,80+,0,0
2020-09-04,00-04,0,17.12
2020-09-04,05-14,0,13.18
2020-09-04,15-34,2,54.09
2020-09-04,35-59,1,7.21
2020-09-04,60-79,0,0
2020-09-04,80+,0,0
2020-09-05,00-04,0,17.12
2020-09-05,05-14,0,13.18
2020-09-05,15-34,2,50.91
2020-09-05,35-59,0,7.21
2020-09-05,60-79,0,0
2020-09-05,80+,0,0
2020-09-06,00-04,1,34.25
2020-09-06,05-14,0,13.18
2020-09-06,15-34,2,57.27
2020-09-06,35-59,1,9.01
2020-09-06,60-79,0,0
2020-09-06,80+,0,0
2020-09-07,00-04,0,34.25
2020-09-07,05-14,0,13.18
2020-09-07,15-34,0,50.91
2020-09-07,35-59,2,10.81
2020-09-07,60-79,0,0
2020-09-07,80+,0,0
2020-09-08,00-04,0,34.25
2020-09-08,05-14,0,13.18
2020-09-08,15-34,1,47.73
2020-09-08,35-59,1,12.61
2020-09-08,60-79,0,0
2020-09-08,80+,0,0
2020-09-09,00-04,0,17.12
2020-09-09,05-14,2,19.77
2020-09-09,15-34,2,38.18
2020-09-09,35-59,4,16.22
2020-09-09,60-79,0,0
2020-09-09,80+,0,0
2020-09-10,00-04,0,17.12
2020-09-10,05-14,0,13.18
2020-09-10,15-34,3,38.18
2020-09-10,35-59,1,18.02
2020-09-10,60-79,0,0
2020-09-10,80+,0,0
2020-09-11,00-04,0,17.12
2020-09-11,05-14,2,26.36
2020-09-11,15-34,1,35.0
2020-09-11,35-59,1,18.02
2020-09-11,60-79,1,3.69
2020-09-11,80+,0,0
2020-09-12,00-04,0,17.12
2020-09-12,05-14,0,26.36
2020-09-12,15-34,1,31.82
2020-09-12,35-59,0,18.02
2020-09-12,60-79,0,3.69
2020-09-12,80+,0,0
2020-09-13,00-04,0,0
2020-09-13,05-14,0,26.36
2020-09-13,15-34,1,28.64
2020-09-13,35-59,0,16.22
2020-09-13,60-79,0,3.69
2020-09-13,80+,0,0
2020-09-14,00-04,0,0
2020-09-14,05-14,0,26.36
2020-09-14,15-34,3,38.18
2020-09-14,35-59,1,14.42
2020-09-14,60-79,1,7.37
2020-09-14,80+,0,0
2020-09-15,00-04,0,0
2020-09-15,05-14,1,32.95
2020-09-15,15-34,1,38.18
2020-09-15,35-59,4,19.82
2020-09-15,60-79,3,18.44
2020-09-15,80+,0,0
2020-09-16,00-04,0,0
2020-09-16,05-14,0,19.77
2020-09-16,15-34,2,38.18
2020-09-16,35-59,4,19.82
2020-09-16,60-79,2,25.81
2020-09-16,80+,0,0
2020-09-17,00-04,0,0
2020-09-17,05-14,0,19.77
2020-09-17,15-34,2,35.0
2020-09-17,35-59,1,19.82
2020-09-17,60-79,2,33.18
2020-09-17,80+,0,0
2020-09-18,00-04,0,0
2020-09-18,05-14,1,13.18
2020-09-18,15-34,1,35.0
2020-09-18,35-59,2,21.62
2020-09-18,60-79,0,29.5
2020-09-18,80+,0,0
2020-09-19,00-04,0,0
2020-09-19,05-14,1,19.77
2020-09-19,15-34,2,38.18
2020-09-19,35-59,0,21.62
2020-09-19,60-79,1,33.18
2020-09-19,80+,0,0
2020-09-20,00-04,0,0
2020-09-20,05-14,0,19.77
2020-09-20,15-34,0,35.0
2020-09-20,35-59,0,21.62
2020-09-20,60-79,0,33.18
2020-09-20,80+,0,0
2020-09-21,00-04,0,0
2020-09-21,05-14,1,26.36
2020-09-21,15-34,1,28.64
2020-09-21,35-59,2,23.43
2020-09-21,60-79,0,29.5
2020-09-21,80+,0,0
2020-09-22,00-04,0,0
2020-09-22,05-14,1,26.36
2020-09-22,15-34,0,25.45
2020-09-22,35-59,4,23.43
2020-09-22,60-79,1,22.12
2020-09-22,80+,0,0
2020-09-23,00-04,0,0
2020-09-23,05-14,0,26.36
2020-09-23,15-34,2,25.45
2020-09-23,35-59,0,16.22
2020-09-23,60-79,0,14.75
2020-09-23,80+,0,0
2020-09-24,00-04,0,0
2020-09-24,05-14,0,26.36
2020-09-24,15-34,1,22.27
2020-09-24,35-59,0,14.42
2020-09-24,60-79,0,7.37
2020-09-24,80+,0,0
2020-09-25,00-04,1,17.12
2020-09-25,05-14,1,26.36
2020-09-25,15-34,3,28.64
2020-09-25,35-59,5,19.82
2020-09-25,60-79,1,11.06
2020-09-25,80+,0,0
2020-09-26,00-04,0,17.12
2020-09-26,05-14,0,19.77
2020-09-26,15-34,3,31.82
2020-09-26,35-59,1,21.62
2020-09-26,60-79,0,7.37
2020-09-26,80+,0,0
2020-09-27,00-04,0,17.12
2020-09-27,05-14,0,19.77
2020-09-27,15-34,0,31.82
2020-09-27,35-59,0,21.62
2020-09-27,60-79,0,7.37
2020-09-27,80+,0,0
2020-09-28,00-04,0,17.12
2020-09-28,05-14,0,13.18
2020-09-28,15-34,2,35.0
2020-09-28,35-59,1,19.82
2020-09-28,60-79,0,7.37
2020-09-28,80+,0,0
2020-09-29,00-04,0,17.12
2020-09-29,05-14,1,13.18
2020-09-29,15-34,3,44.54
2020-09-29,35-59,2,16.22
2020-09-29,60-79,2,11.06
2020-09-29,80+,0,0
2020-09-30,00-04,0,17.12
2020-09-30,05-14,0,13.18
2020-09-30,15-34,3,47.73
2020-09-30,35-59,3,21.62
2020-09-30,60-79,1,14.75
2020-09-30,80+,0,0
2020-10-01,00-04,0,17.12
2020-10-01,05-14,0,13.18
2020-10-01,15-34,1,47.73
2020-10-01,35-59,1,23.43
2020-10-01,60-79,0,14.75
2020-10-01,80+,0,0
2020-10-02,00-04,0,0
2020-10-02,05-14,0,6.59
2020-10-02,15-34,1,41.36
2020-10-02,35-59,3,19.82
2020-10-02,60-79,0,11.06
2020-10-02,80+,1,11.07
2020-10-03,00-04,0,0
2020-10-03,05-14,0,6.59
2020-10-03,15-34,1,35.0
2020-10-03,35-59,2,21.62
2020-10-03,60-79,2,18.44
2020-10-03,80+,0,11.07
2020-10-04,00-04,0,0
2020-10-04,05-14,0,6.59
2020-10-04,15-34,0,35.0
2020-10-04,35-59,0,21.62
2020-10-04,60-79,0,18.44
2020-10-04,80+,0,11.07
2020-10-05,00-04,0,0
2020-10-05,05-14,0,6.59
2020-10-05,15-34,3,38.18
2020-10-05,35-59,1,21.62
2020-10-05,60-79,0,18.44
2020-10-05,80+,0,11.07
2020-10-06,00-04,0,0
2020-10-06,05-14,0,0
2020-10-06,15-34,4,41.36
2020-10-06,35-59,1,19.82
2020-10-06,60-79,0,11.06
2020-10-06,80+,0,11.07
2020-10-07,00-04,0,0
2020-10-07,05-14,0,0
2020-10-07,15-34,6,50.91
2020-10-07,35-59,7,27.03
2020-10-07,60-79,2,14.75
2020-10-07,80+,0,11.07
2020-10-08,00-04,1,17.12
2020-10-08,05-14,0,0
2020-10-08,15-34,7,70.0
2020-10-08,35-59,6,36.04
2020-10-08,60-79,0,14.75
2020-10-08,80+,0,11.07
2020-10-09,00-04,2,51.37
2020-10-09,05-14,2,13.18
2020-10-09,15-34,6,85.91
2020-10-09,35-59,5,39.65
2020-10-09,60-79,1,18.44
2020-10-09,80+,0,0
2020-10-10,00-04,1,68.49
2020-10-10,05-14,0,13.18
2020-10-10,15-34,4,95.45
2020-10-10,35-59,3,41.45
2020-10-10,60-79,0,11.06
2020-10-10,80+,0,0
2020-10-11,00-04,0,68.49
2020-10-11,05-14,0,13.18
2020-10-11,15-34,1,98.63
2020-10-11,35-59,2,45.05
2020-10-11,60-79,0,11.06
2020-10-11,80+,0,0
2020-10-12,00-04,0,68.49
2020-10-12,05-14,0,13.18
2020-10-12,15-34,5,105.0
2020-10-12,35-59,0,43.25
2020-10-12,60-79,1,14.75
2020-10-12,80+,0,0
2020-10-13,00-04,0,68.49
2020-10-13,05-14,2,26.36
2020-10-13,15-34,5,108.18
2020-10-13,35-59,6,52.26
2020-10-13,60-79,0,14.75
2020-10-13,80+,0,0
2020-10-14,00-04,0,68.49
2020-10-14,05-14,2,39.54
2020-10-14,15-34,6,108.18
2020-10-14,35-59,6,50.46
2020-10-14,60-79,5,25.81
2020-10-14,80+,1,11.07
2020-10-15,00-04,1,68.49
2020-10-15,05-14,2,52.73
2020-10-15,15-34,9,114.54
2020-10-15,35-59,4,46.85
2020-10-15,60-79,1,29.5
2020-10-15,80+,0,11.07
2020-10-16,00-04,0,34.25
2020-10-16,05-14,1,46.13
2020-10-16,15-34,3,105.0
2020-10-16,35-59,1,39.65
2020-10-16,60-79,0,25.81
2020-10-16,80+,0,11.07
2020-10-17,00-04,0,17.12
2020-10-17,05-14,0,46.13
2020-10-17,15-34,6,111.36
2020-10-17,35-59,1,36.04
2020-10-17,60-79,1,29.5
2020-10-17,80+,0,11.07
2020-10-18,00-04,0,17.12
2020-10-18,05-14,0,46.13
2020-10-18,15-34,2,114.54
2020-10-18,35-59,2,36.04
2020-10-18,60-79,0,29.5
2020-10-18,80+,0,11.07
2020-10-19,00-04,0,17.12
2020-10-19,05-14,0,46.13
2020-10-19,15-34,1,101.81
2020-10-19,35-59,3,41.45
2020-10-19,60-79,0,25.81
2020-10-19,80+,1,22.14
2020-10-20,00-04,0,17.12
2020-10-20,05-14,1,39.54
2020-10-20,15-34,10,117.72
2020-10-20,35-59,15,57.67
2020-10-20,60-79,4,40.56
2020-10-20,80+,1,33.21
2020-10-21,00-04,0,17.12
2020-10-21,05-14,3,46.13
2020-10-21,15-34,8,124.09
2020-10-21,35-59,5,55.86
2020-10-21,60-79,0,22.12
2020-10-21,80+,0,22.14
2020-10-22,00-04,0,0
2020-10-22,05-14,6,72.5
2020-10-22,15-34,7,117.72
2020-10-22,35-59,12,70.28
2020-10-22,60-79,0,18.44
2020-10-22,80+,0,22.14
2020-10-23,00-04,2,34.25
2020-10-23,05-14,2,79.09
2020-10-23,15-34,5,124.09
2020-10-23,35-59,15,95.51
2020-10-23,60-79,4,33.18
2020-10-23,80+,0,22.14
2020-10-24,00-04,0,34.25
2020-10-24,05-14,6,118.63
2020-10-24,15-34,9,133.63
2020-10-24,35-59,5,102.72
2020-10-24,60-79,3,40.56
2020-10-24,80+,1,33.21
2020-10-25,00-04,0,34.25
2020-10-25,05-14,0,118.63
2020-10-25,15-34,3,136.81
2020-10-25,35-59,1,100.92
2020-10-25,60-79,2,47.93
2020-10-25,80+,0,33.21
2020-10-26,00-04,2,68.49
2020-10-26,05-14,1,125.22
2020-10-26,15-34,6,152.72
2020-10-26,35-59,12,117.13
2020-10-26,60-79,1,51.62
2020-10-26,80+,0,22.14
2020-10-27,00-04,1,85.62
2020-10-27,05-14,5,151.59
2020-10-27,15-34,5,136.81
2020-10-27,35-59,6,100.92
2020-10-27,60-79,4,51.62
2020-10-27,80+,1,22.14
2020-10-28,00-04,2,119.86
2020-10-28,05-14,2,144.99
2020-10-28,15-34,22,181.36
2020-10-28,35-59,24,135.15
2020-10-28,60-79,11,92.18
2020-10-28,80+,0,22.14
2020-10-29,00-04,0,119.86
2020-10-29,05-14,3,125.22
2020-10-29,15-34,10,190.9
2020-10-29,35-59,10,131.55
2020-10-29,60-79,3,103.24
2020-10-29,80+,0,22.14
2020-10-30,00-04,0,85.62
2020-10-30,05-14,1,118.63
2020-10-30,15-34,8,200.45
2020-10-30,35-59,6,115.33
2020-10-30,60-79,4,103.24
2020-10-30,80+,2,44.28
2020-10-31,00-04,1,102.74
2020-10-31,05-14,5,112.04
2020-10-31,15-34,10,203.63
2020-10-31,35-59,20,142.36
2020-10-31,60-79,14,143.79
2020-10-31,80+,15,199.25
2020-11-01,00-04,0,102.74
2020-11-01,05-14,1,118.63
2020-11-01,15-34,4,206.81
2020-11-01,35-59,3,145.97
2020-11-01,60-79,1,140.11
2020-11-01,80+,2,221.39
2020-11-02,00-04,1,85.62
2020-11-02,05-14,3,131.81
2020-11-02,15-34,9,216.35
2020-11-02,35-59,10,142.36
2020-11-02,60-79,3,147.48
2020-11-02,80+,1,232.46
2020-11-03,00-04,2,102.74
2020-11-03,05-14,2,112.04
2020-11-03,15-34,7,222.72
2020-11-03,35-59,18,163.99
2020-11-03,60-79,8,162.23
2020-11-03,80+,3,254.59
2020-11-04,00-04,0,68.49
2020-11-04,05-14,1,105.45
2020-11-04,15-34,17,206.81
2020-11-04,35-59,11,140.56
2020-11-04,60-79,5,140.11
2020-11-04,80+,0,254.59
2020-11-05,00-04,1,85.62
2020-11-05,05-14,2,98.86
2020-11-05,15-34,21,241.81
2020-11-05,35-59,20,158.58
2020-11-05,60-79,8,158.54
2020-11-05,80+,0,254.59
2020-11-06,00-04,0,85.62
2020-11-06,05-14,0,92.27
2020-11-06,15-34,9,244.99
2020-11-06,35-59,7,160.38
2020-11-06,60-79,5,162.23
2020-11-06,80+,0,232.46
2020-11-07,00-04,1,85.62
2020-11-07,05-14,7,105.45
2020-11-07,15-34,19,273.62
2020-11-07,35-59,15,151.37
2020-11-07,60-79,6,132.73
2020-11-07,80+,1,77.49
2020-11-08,00-04,0,85.62
2020-11-08,05-14,0,98.86
2020-11-08,15-34,2,267.26
2020-11-08,35-59,6,156.78
2020-11-08,60-79,1,132.73
2020-11-08,80+,0,55.35
2020-11-09,00-04,0,68.49
2020-11-09,05-14,3,98.86
2020-11-09,15-34,2,244.99
2020-11-09,35-59,3,144.16
2020-11-09,60-79,4,136.42
2020-11-09,80+,0,44.28
2020-11-10,00-04,2,68.49
2020-11-10,05-14,3,105.45
2020-11-10,15-34,11,257.72
2020-11-10,35-59,21,149.57
2020-11-10,60-79,1,110.61
2020-11-10,80+,1,22.14
2020-11-11,00-04,2,102.74
2020-11-11,05-14,4,125.22
2020-11-11,15-34,18,260.9
2020-11-11,35-59,16,158.58
2020-11-11,60-79,12,136.42
2020-11-11,80+,2,44.28
2020-11-12,00-04,2,119.86
2020-11-12,05-14,3,131.81
2020-11-12,15-34,11,229.08
2020-11-12,35-59,22,162.19
2020-11-12,60-79,2,114.3
2020-11-12,80+,2,66.42
2020-11-13,00-04,2,154.11
2020-11-13,05-14,1,138.4
2020-11-13,15-34,15,248.17
2020-11-13,35-59,17,180.21
2020-11-13,60-79,6,117.99
2020-11-13,80+,9,166.04
2020-11-14,00-04,0,136.99
2020-11-14,05-14,0,92.27
2020-11-14,15-34,9,216.35
2020-11-14,35-59,7,165.79
2020-11-14,60-79,2,103.24
2020-11-14,80+,5,210.32
2020-11-15,00-04,0,136.99
2020-11-15,05-14,0,92.27
2020-11-15,15-34,2,216.35
2020-11-15,35-59,4,162.19
2020-11-15,60-79,1,103.24
2020-11-15,80+,0,210.32
2020-11-16,00-04,1,154.11
2020-11-16,05-14,2,85.68
2020-11-16,15-34,8,235.44
2020-11-16,35-59,11,176.6
2020-11-16,60-79,3,99.55
2020-11-16,80+,3,243.52
2020-11-17,00-04,3,171.23
2020-11-17,05-14,2,79.09
2020-11-17,15-34,9,229.08
2020-11-17,35-59,12,160.38
2020-11-17,60-79,3,106.92
2020-11-17,80+,11,354.22
2020-11-18,00-04,0,136.99
2020-11-18,05-14,1,59.32
2020-11-18,15-34,17,225.9
2020-11-18,35-59,11,151.37
2020-11-18,60-79,0,62.68
2020-11-18,80+,1,343.15
2020-11-19,00-04,2,136.99
2020-11-19,05-14,3,59.32
2020-11-19,15-34,23,264.08
2020-11-19,35-59,23,153.18
2020-11-19,60-79,6,77.43
2020-11-19,80+,3,354.22
2020-11-20,00-04,2,136.99
2020-11-20,05-14,1,59.32
2020-11-20,15-34,8,241.81
2020-11-20,35-59,20,158.58
2020-11-20,60-79,11,95.86
2020-11-20,80+,3,287.8
2020-11-21,00-04,0,136.99
2020-11-21,05-14,1,65.91
2020-11-21,15-34,4,225.9
2020-11-21,35-59,11,165.79
2020-11-21,60-79,4,103.24
2020-11-21,80+,8,321.01
2020-11-22,00-04,0,136.99
2020-11-22,05-14,1,72.5
2020-11-22,15-34,4,232.26
2020-11-22,35-59,5,167.59
2020-11-22,60-79,4,114.3
2020-11-22,80+,1,332.08
2020-11-23,00-04,0,119.86
2020-11-23,05-14,1,65.91
2020-11-23,15-34,8,232.26
2020-11-23,35-59,10,165.79
2020-11-23,60-79,2,110.61
2020-11-23,80+,1,309.94
2020-11-24,00-04,1,85.62
2020-11-24,05-14,0,52.73
2020-11-24,15-34,13,244.99
2020-11-24,35-59,27,192.82
2020-11-24,60-79,12,143.79
2020-11-24,80+,8,276.73
2020-11-25,00-04,2,119.86
2020-11-25,05-14,1,52.73
2020-11-25,15-34,10,222.72
2020-11-25,35-59,17,203.63
2020-11-25,60-79,3,154.86
2020-11-25,80+,5,321.01
2020-11-26,00-04,2,119.86
2020-11-26,05-14,0,32.95
2020-11-26,15-34,9,178.17
2020-11-26,35-59,28,212.64
2020-11-26,60-79,7,158.54
2020-11-26,80+,10,398.49
2020-11-27,00-04,4,154.11
2020-11-27,05-14,8,79.09
2020-11-27,15-34,14,197.26
2020-11-27,35-59,23,218.05
2020-11-27,60-79,9,151.17
2020-11-27,80+,13,509.19
2020-11-28,00-04,0,154.11
2020-11-28,05-14,1,79.09
2020-11-28,15-34,3,194.08
2020-11-28,35-59,10,216.25
2020-11-28,60-79,0,136.42
2020-11-28,80+,1,431.7
2020-11-29,00-04,0,154.11
2020-11-29,05-14,0,72.5
2020-11-29,15-34,3,190.9
2020-11-29,35-59,7,219.85
2020-11-29,60-79,2,129.05
2020-11-29,80+,1,431.7
2020-11-30,00-04,1,171.23
2020-11-30,05-14,2,79.09
2020-11-30,15-34,8,190.9
2020-11-30,35-59,5,210.84
2020-11-30,60-79,8,151.17
2020-11-30,80+,6,487.05
2020-12-01,00-04,3,205.48
2020-12-01,05-14,2,92.27
2020-12-01,15-34,14,194.08
2020-12-01,35-59,18,194.62
2020-12-01,60-79,6,129.05
2020-12-01,80+,3,431.7
2020-12-02,00-04,2,205.48
2020-12-02,05-14,12,164.77
2020-12-02,15-34,18,219.54
2020-12-02,35-59,27,212.64
2020-12-02,60-79,8,147.48
2020-12-02,80+,5,431.7
2020-12-03,00-04,1,188.36
2020-12-03,05-14,3,184.54
2020-12-03,15-34,14,235.44
2020-12-03,35-59,14,187.41
2020-12-03,60-79,4,136.42
2020-12-03,80+,4,365.29
2020-12-04,00-04,2,154.11
2020-12-04,05-14,2,144.99
2020-12-04,15-34,9,219.54
2020-12-04,35-59,12,167.59
2020-12-04,60-79,7,129.05
2020-12-04,80+,8,309.94
2020-12-05,00-04,0,154.11
2020-12-05,05-14,4,164.77
2020-12-05,15-34,14,254.53
2020-12-05,35-59,18,182.01
2020-12-05,60-79,1,132.73
2020-12-05,80+,2,321.01
2020-12-06,00-04,0,154.11
2020-12-06,05-14,2,177.95
2020-12-06,15-34,4,257.72
2020-12-06,35-59,6,180.21
2020-12-06,60-79,1,129.05
2020-12-06,80+,2,332.08
2020-12-07,00-04,2,171.23
2020-12-07,05-14,1,171.36
2020-12-07,15-34,11,267.26
2020-12-07,35-59,13,194.62
2020-12-07,60-79,2,106.92
2020-12-07,80+,0,265.66
2020-12-08,00-04,1,136.99
2020-12-08,05-14,7,204.31
2020-12-08,15-34,12,260.9
2020-12-08,35-59,14,187.41
2020-12-08,60-79,1,88.49
2020-12-08,80+,2,254.59
2020-12-09,00-04,0,102.74
2020-12-09,05-14,5,158.18
2020-12-09,15-34,17,257.72
2020-12-09,35-59,29,191.02
2020-12-09,60-79,8,88.49
2020-12-09,80+,1,210.32
2020-12-10,00-04,0,85.62
2020-12-10,05-14,6,177.95
2020-12-10,15-34,18,270.44
2020-12-10,35-59,29,218.05
2020-12-10,60-79,18,140.11
2020-12-10,80+,17,354.22
2020-12-11,00-04,0,51.37
2020-12-11,05-14,2,177.95
2020-12-11,15-34,13,283.17
2020-12-11,35-59,20,232.47
2020-12-11,60-79,7,140.11
2020-12-11,80+,5,321.01
2020-12-12,00-04,1,68.49
2020-12-12,05-14,3,171.36
2020-12-12,15-34,11,273.62
2020-12-12,35-59,13,223.46
2020-12-12,60-79,5,154.86
2020-12-12,80+,4,343.15
2020-12-13,00-04,1,85.62
2020-12-13,05-14,1,164.77
2020-12-13,15-34,2,267.26
2020-12-13,35-59,9,228.86
2020-12-13,60-79,2,158.54
