datum,altersgruppe,neuPositiv,inzidenz7tage
2020-03-30,35-59,5,106.32
2020-03-30,60-79,1,51.62
2020-03-30,80+,0,44.28
2020-03-31,00-04,0,0
2020-03-31,05-14,0,19.77
2020-03-31,15-34,7,127.27
2020-03-31,35-59,7,106.32
2020-03-31,60-79,3,47.93
2020-03-31,80+,2,66.42
2020-04-01,00-04,0,0
2020-04-01,05-14,1,26.36
2020-04-01,15-34,2,108.18
2020-04-01,35-59,7,93.71
2020-04-01,60-79,3,47.93
2020-04-01,80+,2,77.49
2020-04-02,00-04,0,0
2020-04-02,05-14,0,26.36
2020-04-02,15-34,9,117.72
2020-04-02,35-59,9,93.71
2020-04-02,60-79,2,47.93
2020-04-02,80+,0,66.42
2020-04-03,00-04,0,0
2020-04-03,05-14,0,19.77
2020-04-03,15-34,6,127.27
2020-04-03,35-59,13,99.11
2020-04-03,60-79,3,51.62
2020-04-03,80+,0,66.42
2020-04-04,00-04,0,0
2020-04-04,05-14,1,26.36
2020-04-04,15-34,6,124.09
2020-04-04,35-59,6,91.91
2020-04-04,60-79,0,44.24
2020-04-04,80+,1,55.35
2020-04-05,00-04,0,0
2020-04-05,05-14,0,26.36
2020-04-05,15-34,0,120.9
2020-04-05,35-59,1,86.5
2020-04-05,60-79,1,47.93
2020-04-05,80+,0,55.35
2020-04-06,00-04,0,0
2020-04-06,05-14,0,13.18
2020-04-06,15-34,3,105.0
2020-04-06,35-59,4,84.7
2020-04-06,60-79,0,44.24
2020-04-06,80+,1,66.42
2020-04-07,00-04,0,0
2020-04-07,05-14,0,13.18
2020-04-07,15-34,3,92.27
2020-04-07,35-59,2,75.69
2020-04-07,60-79,0,33.18
2020-04-07,80+,1,55.35
2020-04-08,00-04,0,0
2020-04-08,05-14,0,6.59
2020-04-08,15-34,12,124.09
2020-04-08,35-59,8,77.49
2020-04-08,60-79,5,40.56
2020-04-08,80+,0,33.21
2020-04-09,00-04,0,0
2020-04-09,05-14,0,6.59
2020-04-09,15-34,4,108.18
2020-04-09,35-59,11,81.09
2020-04-09,60-79,1,36.87
2020-04-09,80+,1,44.28
2020-04-10,00-04,0,0
2020-04-10,05-14,0,6.59
2020-04-10,15-34,4,101.81
2020-04-10,35-59,1,59.47
2020-04-10,60-79,2,33.18
2020-04-10,80+,0,44.28
2020-04-11,00-04,0,0
2020-04-11,05-14,0,0
2020-04-11,15-34,0,82.72
2020-04-11,35-59,0,48.66
2020-04-11,60-79,2,40.56
2020-04-11,80+,0,33.21
2020-04-12,00-04,0,0
2020-04-12,05-14,0,0
2020-04-12,15-34,2,89.09
2020-04-12,35-59,2,50.46
2020-04-12,60-79,1,40.56
2020-04-12,80+,0,33.21
2020-04-13,00-04,0,0
2020-04-13,05-14,0,0
2020-04-13,15-34,0,79.54
2020-04-13,35-59,2,46.85
2020-04-13,60-79,2,47.93
2020-04-13,80+,0,22.14
2020-04-14,00-04,0,0
2020-04-14,05-14,0,0
2020-04-14,15-34,0,70.0
2020-04-14,35-59,0,43.25
2020-04-14,60-79,1,51.62
2020-04-14,80+,1,22.14
2020-04-15,00-04,0,0
2020-04-15,05-14,0,0
2020-04-15,15-34,16,82.72
2020-04-15,35-59,3,34.24
2020-04-15,60-79,0,33.18
2020-04-15,80+,0,22.14
2020-04-16,00-04,0,0
2020-04-16,05-14,0,0
2020-04-16,15-34,0,70.0
2020-04-16,35-59,1,16.22
2020-04-16,60-79,3,40.56
2020-04-16,80+,1,22.14
2020-04-17,00-04,0,0
2020-04-17,05-14,0,0
2020-04-17,15-34,5,73.18
2020-04-17,35-59,1,16.22
2020-04-17,60-79,0,33.18
2020-04-17,80+,0,22.14
2020-04-18,00-04,0,0
2020-04-18,05-14,0,0
2020-04-18,15-34,1,76.36
2020-04-18,35-59,0,16.22
2020-04-18,60-79,1,29.5
2020-04-18,80+,0,22.14
2020-04-19,00-04,0,0
2020-04-19,05-14,0,0
2020-04-19,15-34,0,70.0
2020-04-19,35-59,1,14.42
2020-04-19,60-79,0,25.81
2020-04-19,80+,0,22.14
2020-04-20,00-04,1,17.12
2020-04-20,05-14,0,0
2020-04-20,15-34,3,79.54
2020-04-20,35-59,2,14.42
2020-04-20,60-79,0,18.44
2020-04-20,80+,0,22.14
2020-04-21,00-04,0,17.12
2020-04-21,05-14,0,0
2020-04-21,15-34,1,82.72
2020-04-21,35-59,0,14.42
2020-04-21,60-79,0,14.75
2020-04-21,80+,0,11.07
2020-04-22,00-04,0,17.12
2020-04-22,05-14,0,0
2020-04-22,15-34,6,50.91
2020-04-22,35-59,3,14.42
2020-04-22,60-79,1,18.44
2020-04-22,80+,0,11.07
2020-04-23,00-04,0,17.12
2020-04-23,05-14,0,0
2020-04-23,15-34,4,63.63
2020-04-23,35-59,3,18.02
2020-04-23,60-79,2,14.75
2020-04-23,80+,1,11.07
2020-04-24,00-04,0,17.12
2020-04-24,05-14,0,0
2020-04-24,15-34,9,76.36
2020-04-24,35-59,3,21.62
2020-04-24,60-79,0,14.75
2020-04-24,80+,0,11.07
2020-04-25,00-04,0,17.12
2020-04-25,05-14,0,0
2020-04-25,15-34,0,73.18
2020-04-25,35-59,2,25.23
2020-04-25,60-79,0,11.06
2020-04-25,80+,1,22.14
2020-04-26,00-04,0,17.12
2020-04-26,05-14,0,0
2020-04-26,15-34,0,73.18
2020-04-26,35-59,0,23.43
2020-04-26,60-79,0,11.06
2020-04-26,80+,0,22.14
2020-04-27,00-04,0,0
2020-04-27,05-14,0,0
2020-04-27,15-34,3,73.18
2020-04-27,35-59,3,25.23
2020-04-27,60-79,0,11.06
2020-04-27,80+,0,22.14
2020-04-28,00-04,0,0
2020-04-28,05-14,0,0
2020-04-28,15-34,1,73.18
2020-04-28,35-59,1,27.03
2020-04-28,60-79,0,11.06
2020-04-28,80+,0,22.14
