stimmbezirk,stimmbezirkNr,partei,stimmen,stimmzettelNurListenkreuz,stimmzettelNurEineListe
Stimmbezirk 22,22,AfD,208,4,6
Stimmbezirk 22,22,SPD,923,14,22
Stimmbezirk 22,22,FDP,490,10,12
Stimmbezirk 23,23,CSU,1804,22,46
Stimmbezirk 23,23,Grüne,2201,48,58
Stimmbezirk 23,23,FW,389,6,7
Stimmbezirk 23,23,AfD,140,3,5
Stimmbezirk 23,23,SPD,1063,11,22
Stimmbezirk 23,23,FDP,307,5,7
Stimmbezirk 24,24,CSU,2176,32,54
Stimmbezirk 24,24,Grüne,1437,25,31
Stimmbezirk 24,24,FW,613,11,15
Stimmbezirk 24,24,AfD,118,3,4
Stimmbezirk 24,24,SPD,613,7,12
Stimmbezirk 24,24,FDP,446,6,10
Stimmbezirk 25,25,CSU,764,21,29
Stimmbezirk 25,25,Grüne,334,8,11
Stimmbezirk 25,25,FW,100,2,3
Stimmbezirk 25,25,AfD,3,0,0
Stimmbezirk 25,25,SPD,193,5,7
Stimmbezirk 25,25,FDP,34,1,1
Stimmbezirk 31,31,CSU,6861,67,148
Stimmbezirk 31,31,Grüne,2495,35,42
Stimmbezirk 31,31,FW,1445,11,15
Stimmbezirk 31,31,AfD,249,2,5
Stimmbezirk 31,31,SPD,2170,21,33
Stimmbezirk 31,31,FDP,707,3,10
Stimmbezirk 32,32,CSU,7418,75,140
Stimmbezirk 32,32,Grüne,3958,61,76
Stimmbezirk 32,32,FW,2201,22,25
Stimmbezirk 32,32,AfD,456,10,12
Stimmbezirk 32,32,SPD,2477,15,26
Stimmbezirk 32,32,FDP,905,7,11
Stimmbezirk 33,33,CSU,4677,57,96
Stimmbezirk 33,33,Grüne,3546,39,59
Stimmbezirk 33,33,FW,1459,16,21
Stimmbezirk 33,33,AfD,425,5,14
Stimmbezirk 33,33,SPD,2013,13,25
Stimmbezirk 33,33,FDP,804,10,11
Stimmbezirk 34,34,CSU,5765,54,125
Stimmbezirk 34,34,Grüne,3090,38,62
Stimmbezirk 34,34,FW,1794,19,29
Stimmbezirk 34,34,AfD,290,6,9
Stimmbezirk 34,34,SPD,2165,17,31
Stimmbezirk 34,34,FDP,937,12,15
Stimmbezirk 35,35,CSU,4803,30,83
Stimmbezirk 35,35,Grüne,2214,33,44
Stimmbezirk 35,35,FW,1454,20,27
Stimmbezirk 35,35,AfD,147,3,4
Stimmbezirk 35,35,SPD,1766,15,29
Stimmbezirk 35,35,FDP,449,3,3
Stimmbezirk 36,36,CSU,6878,67,151
