Name,NamensherkunftWikidata,Postleitzahl,OSMWayIDs,Geometry
Brunnenstraße,Q43483,85598,4684730/4684731/4684732/4684733/4684734/228275921/228444099/228444100/741321647,"MULTILINESTRING ((11.785977 48.0969064, 11.7860452 48.0968982, 11.7865866 48.0968364, 11.7865951 48.0968354, 11.7867206 48.096821, 11.787029 48.0967999, 11.7876383 48.0967581), (11.7876383 48.0967581, 11.7878991 48.0967276, 11.7885192 48.0966549, 11.7885478 48.0966513, 11.7888419 48.0966143, 11.789061 48.0965902, 11.789521 48.0965396, 11.7896369 48.096556, 11.7897005 48.0965882, 11.7898089 48.0966612, 11.7899762 48.0967483, 11.7900769 48.0967767, 11.7901934 48.0967922, 11.7903167 48.0967926, 11.7905109 48.0967751, 11.790659 48.0967643), (11.790659 48.0967643, 11.7910321 48.0967133, 11.7915824 48.0966235, 11.791825 48.0965873, 11.7919923 48.0965482, 11.7920646 48.0965185, 11.7921029 48.0964585, 11.7921084 48.0962989, 11.7921172 48.096221, 11.7921399 48.0961773, 11.7921737 48.0961458, 11.792243 48.0961071, 11.7930096 48.0959784, 11.7935324 48.0958947, 11.7945539 48.0957367, 11.7955638 48.0956206, 11.7962429 48.095572, 11.7970189 48.095563, 11.7975596 48.0955628, 11.7981089 48.0955625, 11.7992718 48.0955484, 11.7994757 48.0955382, 11.7995715 48.0955063, 11.7996379 48.0954811), (11.7945539 48.0957367, 11.7944914 48.0968228), (11.7955638 48.0956206, 11.7956563 48.0962309, 11.7957167 48.0966292, 11.7957267 48.0966952), (11.7970189 48.095563, 11.7970563 48.0958904, 11.7971144 48.0961491, 11.7967579 48.0963217, 11.7969015 48.0966396), (11.7981089 48.0955625, 11.7981925 48.0959713), (11.7996379 48.0954811, 11.7997357 48.0955021, 11.7998638 48.0955186, 11.8001245 48.0955119, 11.8005452 48.095501, 11.8006872 48.0955209, 11.8008758 48.0955948), (11.8008758 48.0955948, 11.8010287 48.0956785))"
Brünnsteinstraße,Q882165,85591,4644365/986149396,"MULTILINESTRING ((11.7691296 48.1055366, 11.7691715 48.1056098, 11.7691823 48.1056287, 11.7692846 48.105838, 11.7693031 48.1058758), (11.7693031 48.1058758, 11.7695481 48.1063862, 11.7696706 48.1066414, 11.7700148 48.1073583))"
Buchenstraße,Q25403,85598,4642057,"MULTILINESTRING ((11.7801922 48.0994737, 11.7801929 48.0988333, 11.7801975 48.0985091, 11.7801833 48.0980068, 11.7801473 48.0975242))"
Buchenweg,Q25403,85599,4047077/4047121/4047134,"MULTILINESTRING ((11.7858275 48.1425731, 11.785956 48.1421383, 11.7859976 48.1419861, 11.7860588 48.1417624, 11.7860608 48.1417115, 11.7860352 48.1416726, 11.7860168 48.1416445, 11.7859285 48.1415914, 11.7855303 48.1414774, 11.784963 48.1413083), (11.7823928 48.1408169, 11.7836291 48.1410429, 11.7843879 48.141175, 11.784963 48.1413083), (11.7823928 48.1408169, 11.7820284 48.1407455, 11.7818469 48.1407172))"
Bürgermeister-Hollweck-Straße,Q115463626,85599,25028664/25028671/25028676,"MULTILINESTRING ((11.7879045 48.1389898, 11.7880929 48.1390091, 11.7883 48.1391158, 11.7884414 48.1392403, 11.7885008 48.1393443, 11.7885726 48.1395193, 11.7888077 48.1400066, 11.7889565 48.140221, 11.7890589 48.1403589, 11.7891157 48.1404385, 11.7892293 48.1405702, 11.789453 48.1408294, 11.7895313 48.1408897, 11.7896275 48.1409296, 11.7897483 48.1409999, 11.7898734 48.1410726), (11.7888077 48.1400066, 11.7883292 48.1401756, 11.7882451 48.1403557), (11.7896275 48.1409296, 11.7899694 48.140586, 11.7900024 48.140542, 11.7900709 48.1402075))"
Carl-Orff-Straße,Q44086,85591,4628720/33092117/33092133/33092137/49801565/187942873/228444101/366705070,"MULTILINESTRING ((11.7788473 48.1092034, 11.7786565 48.1092541, 11.7783539 48.1092708), (11.7789534 48.1093941, 11.7788152 48.1093455, 11.778664 48.1093083, 11.7783539 48.1092708), (11.7783539 48.1092708, 11.778529 48.1092255, 11.7786365 48.1091788, 11.7787224 48.1091131, 11.7787446 48.1090305), (11.7783539 48.1092708, 11.7780414 48.1092987, 11.7774558 48.1093664, 11.7773419 48.1093843, 11.7771865 48.109432, 11.7770065 48.1094995, 11.7768993 48.1095502, 11.7764308 48.1098091, 11.7762591 48.109904, 11.7760563 48.1100116, 11.7756358 48.1102348, 11.7754476 48.1103369, 11.7751457 48.1104959, 11.7743536 48.1109086, 11.773964 48.1111355), (11.7754476 48.1103369, 11.7757383 48.1105615, 11.7758775 48.1105894, 11.7760051 48.110615, 11.7766409 48.1108268), (11.7762591 48.109904, 11.776677 48.11017, 11.7773827 48.1103519), (11.7770065 48.1094995, 11.777138 48.1095989, 11.7774206 48.1098097), (11.773964 48.1111355, 11.7735003 48.1113772, 11.7730366 48.1115157, 11.7728771 48.1115528, 11.772671 48.1115853))"
Carl-Zeller-Straße,Q348527,85591,4688831,"MULTILINESTRING ((11.7758698 48.1058255, 11.7773123 48.1064847))"
Dachsweg,Q10328397,85598,171050652/171050653/819518591/822795762/931000558/983684415/988408619/1192353982,"MULTILINESTRING ((11.7945876 48.1005128, 11.7945477 48.1005591, 11.7945106 48.1006143, 11.7944995 48.1006894, 11.794269 48.1007364, 11.794223 48.100747), (11.7951738 48.1006636, 11.7950254 48.1006916, 11.7949473 48.1007137, 11.7948699 48.1007284, 11.7947918 48.1007513, 11.7946347 48.1007797, 11.7945976 48.1007868, 11.7945573 48.1007336, 11.7944995 48.1006894), (11.794223 48.100747, 11.7941365 48.1007658, 11.7939673 48.1008027, 11.7931839 48.1009734), (11.7942274 48.1011176, 11.7942369 48.1011366, 11.7943132 48.1011194, 11.7943787 48.1011035, 11.7943588 48.1010642, 11.7942724 48.100893, 11.7942029 48.1009085, 11.7941365 48.1007658), (11.7943588 48.1010642, 11.7943426 48.1010678), (11.7939673 48.1008027, 11.7939978 48.1008673, 11.7939824 48.100871), (11.7945477 48.1005591, 11.7942041 48.100627), (11.7950813 48.1004128, 11.7945876 48.1005128))"
Dahlienstraße,Q130918,85591,4644433/134683008/1120714860/1120714861/1120714862/1196997580,"MULTILINESTRING ((11.7773827 48.0949278, 11.7775953 48.0948504, 11.7781226 48.0946511, 11.7782823 48.0945957, 11.7789724 48.0943563), (11.7781226 48.0946511, 11.7779365 48.0944127, 11.7790376 48.09403, 11.7796346 48.0938226, 11.779846 48.0940743), (11.779364 48.0942288, 11.779846 48.0940743, 11.78011 48.0940038), (11.7790542 48.0943352, 11.7792381 48.094272, 11.779364 48.0942288), (11.7789724 48.0943563, 11.7790542 48.0943352), (11.78011 48.0940038, 11.7804699 48.0939076))"
Dohlenweg,Q1234846,85591,4614805/4644382,"MULTILINESTRING ((11.7705317 48.1112603, 11.7712905 48.1106554, 11.7713662 48.1105951, 11.7716136 48.1103957, 11.7719866 48.1100791, 11.772068 48.1100202), (11.7705317 48.1112603, 11.7702051 48.1115363, 11.7699556 48.1118297, 11.7696445 48.1122362, 11.7695874 48.1123169, 11.769574 48.1123625, 11.7695862 48.1123973))"
Dompfaffweg,Q25382,85591,4648244,"MULTILINESTRING ((11.7666179 48.1053503, 11.7665779 48.105379, 11.7662473 48.1056166, 11.7657652 48.1060165, 11.7650933 48.1064953))"
Dorffeldweg,,85646,24927059,"MULTILINESTRING ((11.8187502 48.1500849, 11.8187033 48.1500787, 11.8154476 48.1496503, 11.8150099 48.1495933, 11.8140678 48.1494706, 11.8138574 48.1494292))"
Dorfplatz,Q532,85599,4046140/715392536/715401964,"MULTILINESTRING ((11.7876169 48.1418501, 11.7873711 48.1416425, 11.7872282 48.1414962, 11.7871808 48.1414376, 11.7871555 48.141378, 11.7871476 48.1413475, 11.7871154 48.1412536, 11.7870666 48.141138, 11.7870255 48.1410483, 11.7869666 48.1409779), (11.7876694 48.141897, 11.7876169 48.1418501), (11.7880242 48.1426165, 11.7880287 48.1425158, 11.7880209 48.1424449, 11.7880064 48.1423756, 11.7879672 48.1422652, 11.7878799 48.1421185, 11.7878481 48.1420773, 11.787788 48.1419995, 11.7876694 48.141897))"
Dorfstraße,Q532,85591,4706241/123760235/228275922/228444102/366705072/366705074/656798103,"MULTILINESTRING ((11.7697311 48.1147087, 11.769797 48.1146178, 11.7698645 48.1145451, 11.7700173 48.1144183, 11.7701675 48.1143027, 11.7701938 48.1142824), (11.7701938 48.1142824, 11.7703909 48.1141726), (11.7703909 48.1141726, 11.7704928 48.1141036, 11.770532 48.1140771, 11.7706053 48.1140275, 11.770845 48.1138652, 11.7709408 48.1138003, 11.771015 48.113746, 11.7713236 48.1135204, 11.7716383 48.1132613, 11.7718513 48.1130751, 11.7719834 48.11294, 11.7721345 48.1127774, 11.7721648 48.1127419, 11.7722282 48.1126676, 11.7722988 48.1125663, 11.7723751 48.1124489, 11.7723943 48.1124194, 11.7724726 48.1122327, 11.7725877 48.1119003, 11.7726245 48.1117876), (11.7726245 48.1117876, 11.772671 48.1115853), (11.772671 48.1115853, 11.7726881 48.1114029, 11.7726809 48.1112605), (11.7726809 48.1112605, 11.7726637 48.111118, 11.7726375 48.1110301, 11.7726118 48.1109668, 11.7725638 48.1108517, 11.7725339 48.1108008, 11.7723371 48.1104906, 11.7721618 48.1102272, 11.772068 48.1100202, 11.7720406 48.1099751, 11.7717196 48.1094376, 11.7717043 48.1094119, 11.7715349 48.1091645), (11.7715349 48.1091645, 11.7713486 48.1088765, 11.771307 48.1088122))"
Dreitorspitzstraße,Q585796,85591,51790787/157296418/157296419/228275923/986852148,"MULTILINESTRING ((11.7691099 48.1037396, 11.7691256 48.1037743, 11.7691314 48.1037871), (11.7691314 48.1037871, 11.7692386 48.1040512), (11.7692386 48.1040512, 11.7693408 48.104226, 11.7694778 48.1042073, 11.769658 48.1041719), (11.769658 48.1041719, 11.7697787 48.1044771, 11.7699209 48.1045186), (11.7701229 48.1051226, 11.7701014 48.1050603, 11.7700015 48.1047697, 11.7699209 48.1045186))"
Drosselweg,Q26050,85591,25028387/74750684/986149344,"MULTILINESTRING ((11.7695586 48.1077393, 11.7688821 48.1082055, 11.7680306 48.1087132), (11.7684943 48.1089713, 11.7682011 48.1088081, 11.7680306 48.1087132, 11.7675488 48.1084451), (11.7696454 48.1076795, 11.7695586 48.1077393))"
Eberweg,Q1484022,85598,4606323,"MULTILINESTRING ((11.7948997 48.1054642, 11.7945202 48.1055201, 11.7942433 48.1055586, 11.7938111 48.105617, 11.7937177 48.1056299, 11.7936061 48.1056509, 11.7932169 48.1057046, 11.7930466 48.1057346, 11.7927109 48.1058051, 11.792295 48.105903))"
Edelweißstraße,Q178265,85591,4692159,"MULTILINESTRING ((11.7739223 48.100399, 11.7734918 48.0997614, 11.7730195 48.0991411, 11.7721483 48.0978949, 11.7714458 48.0969833))"
Eglfinger Weg,Q115471860,85622,24842199/210126162/222342526/304688020/316403768/964995043,"MULTILINESTRING ((11.7595025 48.1274417, 11.7598739 48.1275628), (11.7598739 48.1275628, 11.7602881 48.1277054, 11.7606241 48.1279368, 11.7610777 48.1283872, 11.7615008 48.1288944), (11.7615008 48.1288944, 11.762039 48.1294986, 11.7625626 48.1300084, 11.7630948 48.1305813, 11.7635325 48.1310854, 11.7639273 48.1314291, 11.7642964 48.1316525, 11.7646998 48.1318817, 11.7651241 48.1321164), (11.7651241 48.1321164, 11.7655663 48.1324296), (11.7655663 48.1324296, 11.7655807 48.1325011, 11.7655813 48.1325877, 11.76555 48.1326683, 11.7654415 48.1327787, 11.7653099 48.1328997, 11.7652609 48.1329933, 11.7652574 48.13304, 11.7652848 48.1330952, 11.7653718 48.1332, 11.7654458 48.133263), (11.7654458 48.133263, 11.7656717 48.1334055))"
Eichenstraße,Q12004,85598,4644434/903806693/1120714846/1196997560,"MULTILINESTRING ((11.7829656 48.093114, 11.7832821 48.0930014, 11.7833797 48.0929667, 11.7837516 48.0928344, 11.7838882 48.0927858), (11.7822644 48.0933679, 11.7826426 48.0932306, 11.7828835 48.0931432, 11.7829656 48.093114), (11.7816486 48.0935889, 11.7822644 48.0933679), (11.78134 48.0936996, 11.7816486 48.0935889))"
Eichhörnchenweg,Q281124,85598,24964534,"MULTILINESTRING ((11.7900938 48.1008808, 11.7905872 48.1013476, 11.7906931 48.1014327, 11.7908908 48.1016095, 11.7911292 48.1018232, 11.7913103 48.1019831, 11.7916019 48.1022469, 11.791868 48.1024637, 11.7921718 48.1027278, 11.7926315 48.1032125, 11.7930025 48.1036521, 11.7932057 48.1039026, 11.7937885 48.1046208))"
Elsterweg,Q25307,85591,40111432/975899326,"MULTILINESTRING ((11.7698416 48.1105532, 11.7703028 48.1101601, 11.7704629 48.1101482, 11.7705793 48.1101606, 11.7707866 48.1102816), (11.7697931 48.1105945, 11.7698416 48.1105532))"
Enzianstraße,Q144682,85591,4692155,"MULTILINESTRING ((11.7744768 48.0997386, 11.7739454 48.0989895, 11.7736581 48.0986049, 11.7730816 48.0978075, 11.7722795 48.0966754))"
Erika-Köth-Straße,Q77743,85598,8447809/1000104163/1193070247/1193070248/1193070249,"MULTILINESTRING ((11.7866799 48.090281, 11.7863296 48.0896239, 11.7863022 48.0895724), (11.7869562 48.0911164, 11.7869483 48.0910601, 11.7869432 48.0910412, 11.7868967 48.0908116, 11.7866799 48.090281), (11.7863022 48.0895724, 11.786161 48.0893077), (11.786161 48.0893077, 11.7861505 48.0891502, 11.786256 48.0890704), (11.786256 48.0890704, 11.7867763 48.0889608))"
Erikastraße,Q206998,85598,4684745,"MULTILINESTRING ((11.8049352 48.0984412, 11.804895 48.0982235, 11.8048696 48.0980428, 11.8048682 48.0979935, 11.8048667 48.0979406, 11.8048714 48.0978047, 11.8049037 48.0977178, 11.8050789 48.0975109))"
Erlenweg,Q25239,85599,4047099/32922835,"MULTILINESTRING ((11.782439 48.1420138, 11.7823722 48.1415735, 11.7823693 48.141289, 11.7823928 48.1408169, 11.7824 48.1406885, 11.7825209 48.1404286, 11.7827596 48.1400613, 11.7828347 48.1399958), (11.7831469 48.1396027, 11.7830992 48.1396506, 11.7828304 48.1399663, 11.7828347 48.1399958))"
Ernst-Mach-Straße,Q93996,85591,171005868,"MULTILINESTRING ((11.7694369 48.0983224, 11.7703392 48.0981538, 11.771184 48.0980015))"
Eschenweg,Q128887,85599,22327919,"MULTILINESTRING ((11.7930401 48.1420964, 11.7932858 48.1422054, 11.7933499 48.1422744, 11.7934181 48.1423891, 11.7935163 48.1425889, 11.7936109 48.142792, 11.7938134 48.1429318, 11.7939536 48.1430614, 11.7939523 48.1431223, 11.793896 48.1431498, 11.7938085 48.1431315, 11.7937325 48.1430717, 11.7936593 48.1429555, 11.7936109 48.142792))"
Eulenweg,Q25222,85591,58724244/177187846/677108478/995789762/1143878999,"MULTILINESTRING ((11.768226 48.1122085, 11.7689022 48.1124391, 11.7689607 48.1124572, 11.7691916 48.112488, 11.7694073 48.1124572, 11.7695862 48.1123973), (11.7711788 48.1128671, 11.771159 48.1128602, 11.7708028 48.1127785, 11.7706161 48.1127401, 11.7704855 48.1127048, 11.7696424 48.1124333, 11.7695862 48.1123973), (11.7718513 48.1130751, 11.7717934 48.1130587, 11.7714487 48.1129609, 11.7711788 48.1128671), (11.7660722 48.1114805, 11.7662374 48.1115367, 11.7673047 48.1118997, 11.768226 48.1122085), (11.7604634 48.1092313, 11.7605153 48.1092508, 11.7613362 48.1094139, 11.761747 48.1095042))"
Farnweg,Q80005,85598,4684722,"MULTILINESTRING ((11.8023227 48.0969629, 11.8023393 48.0969939, 11.8022775 48.0973847, 11.8023079 48.0974639, 11.8024157 48.097499, 11.8024839 48.0975318, 11.8025885 48.0978819))"
Fasanenstraße,Q25432,85591,4644371/4644383/366705076/656578243/905422341/1120787298,"MULTILINESTRING ((11.762856 48.107295, 11.762882 48.1073273, 11.7631267 48.1074572, 11.7633731 48.1075879, 11.7636586 48.1077358, 11.7638299 48.1078218, 11.7638931 48.1078481, 11.7639828 48.1078749, 11.7645884 48.1079691, 11.7646509 48.1079872, 11.7647157 48.1080145, 11.7650615 48.1082119, 11.7653566 48.1083761, 11.76573 48.1085736, 11.7657801 48.1085899, 11.7658217 48.1085992, 11.765884 48.1086056, 11.7661815 48.1086097, 11.7665497 48.1086139, 11.7666124 48.1086202, 11.7666443 48.10863), (11.7615142 48.1079885, 11.7620069 48.1079588, 11.7621467 48.107891, 11.7625106 48.1075769, 11.7626867 48.1074418, 11.762856 48.107295), (11.7666443 48.10863, 11.7669411 48.108782, 11.7670558 48.1088421, 11.7674824 48.1090656, 11.7678065 48.1092353, 11.7678554 48.1092653, 11.7678909 48.109309, 11.7680048 48.1096163, 11.7681316 48.1096848, 11.7682683 48.1097585, 11.7684058 48.1098328, 11.7684658 48.1098643, 11.7686011 48.1099529, 11.768769 48.1100449, 11.7688746 48.1101021, 11.7691168 48.1102326), (11.7691168 48.1102326, 11.7697931 48.1105945, 11.7698669 48.1106527, 11.7699492 48.1108116, 11.7700517 48.1110128, 11.770094 48.1110346, 11.7703974 48.1111974, 11.7704651 48.1112291, 11.7705317 48.1112603), (11.7705317 48.1112603, 11.7706195 48.1113014, 11.7707308 48.1113363, 11.7709679 48.1114006, 11.7713125 48.1114862, 11.7713877 48.1115049, 11.7717161 48.1115865, 11.7718332 48.1116023, 11.7719671 48.1116105, 11.772066 48.1116161), (11.772066 48.1116161, 11.7724969 48.1116025, 11.772671 48.1115853))"
Feldkirchener Straße,Q264501,85599,4046597,"MULTILINESTRING ((11.7873711 48.1416425, 11.7873064 48.1417321, 11.787289 48.1417588, 11.7871862 48.1420326, 11.7871651 48.142066, 11.7871482 48.1420929, 11.7870924 48.1421524, 11.7869853 48.1422353, 11.7868772 48.1423027, 11.7866238 48.1424165, 11.7863087 48.1425087, 11.7862984 48.1425117, 11.7860964 48.1425521, 11.7858275 48.1425731, 11.7857056 48.1425826, 11.7848466 48.1426092, 11.7847933 48.1426024, 11.7847452 48.1425812))"
Feldkirchener Straße,Q264501,85599,4615956/228724892/554656718/715398032,"MULTILINESTRING ((11.7851469 48.12444, 11.7852785 48.124466, 11.7869274 48.1247915, 11.7886459 48.1251987), (11.7886459 48.1251987, 11.7894311 48.1253728, 11.7894802 48.125385, 11.7897746 48.1254583, 11.790198 48.1255636), (11.790198 48.1255636, 11.7903603 48.1255981), (11.7903603 48.1255981, 11.7904481 48.1256167, 11.7905307 48.1256342, 11.7906157 48.1256522))"
Feldkirchener Straße,Q264501,85622,4778240/38708147/228592473/344078920/904226747/904226748/904228981/904228982,"MULTILINESTRING ((11.7687301 48.1315454, 11.7679051 48.1319035, 11.7677027 48.1319914, 11.7670339 48.1322964), (11.7670339 48.1322964, 11.7666886 48.1325021, 11.7666149 48.132557, 11.766558 48.1325972), (11.766558 48.1325972, 11.7663827 48.1327299, 11.7662945 48.1328137, 11.7656717 48.1334055, 11.7656043 48.1334696), (11.7656043 48.1334696, 11.7653657 48.1336841), (11.7653657 48.1336841, 11.7653452 48.1337025, 11.7652789 48.1337621, 11.7651001 48.1339228, 11.7650294 48.1339864, 11.7649116 48.1340781, 11.7648399 48.1341324, 11.7647964 48.1341631, 11.7646464 48.134269, 11.7645615 48.1343206), (11.7645615 48.1343206, 11.7645081 48.1343531, 11.7644044 48.1344161, 11.7639857 48.1346437, 11.7637441 48.1347757), (11.7637441 48.1347757, 11.7634943 48.1349118, 11.7624416 48.1354596, 11.7618591 48.1357715, 11.7616967 48.1358584, 11.7613356 48.1360604, 11.7612546 48.1361071), (11.7612546 48.1361071, 11.7609445 48.1363252, 11.7606346 48.136555, 11.7602513 48.1368598, 11.7600665 48.1370151, 11.7598855 48.1371766, 11.7591691 48.1378353))"
Feldkreuzweg,,85646,24928332,"MULTILINESTRING ((11.8168833 48.1467451, 11.8156829 48.1466055, 11.8154131 48.1465741, 11.8142409 48.1464377, 11.814123 48.1468044))"
Fichtenstraße,Q26782,85598,4644431/1120714853/1120714854/1120714855/1120714856,"MULTILINESTRING ((11.7808161 48.0955805, 11.7811661 48.095571, 11.7820818 48.0955406, 11.7823424 48.0955057), (11.7823424 48.0955057, 11.7823779 48.0955009, 11.7826313 48.095467, 11.7827053 48.09545), (11.7827053 48.09545, 11.7832427 48.0953267), (11.7832427 48.0953267, 11.7834173 48.0952922, 11.7842027 48.0951369, 11.7850884 48.0949617), (11.779444 48.0956129, 11.7807454 48.0955824, 11.7808161 48.0955805))"
Fichtenweg,Q26782,85599,22341638,"MULTILINESTRING ((11.7828347 48.1399958, 11.7852914 48.1408096))"
Finkenstraße,Q160835,85598,4688833/4692176/8151095/124228863/171050654/689458158/1117888847,"MULTILINESTRING ((11.7873593 48.1000962, 11.7872333 48.1001333, 11.7871567 48.1001408, 11.7868262 48.1001972), (11.7868262 48.1001972, 11.7863194 48.1003301, 11.7854213 48.1005656, 11.7840757 48.1009307), (11.7846155 48.1002813, 11.7843119 48.1004248, 11.7841096 48.1007832, 11.7840757 48.1009307), (11.7840757 48.1009307, 11.7838629 48.1009591), (11.7838629 48.1009591, 11.7833032 48.1010109, 11.7829569 48.1010068, 11.7827329 48.1010277), (11.7833032 48.1010109, 11.7833477 48.1006126), (11.7819471 48.1012053, 11.7821204 48.1011723, 11.7827241 48.101029, 11.7827329 48.1010277))"
Finkenweg,Q160835,85591,4644385/618081437,"MULTILINESTRING ((11.7622232 48.1058141, 11.7621494 48.105775, 11.7616524 48.1056342), (11.7616524 48.1056342, 11.7615226 48.10562, 11.7614106 48.105594, 11.761329 48.1055596, 11.761243 48.1055104, 11.7611021 48.1054149, 11.7608703 48.1053344, 11.7606295 48.1052419))"
Fliederstraße,Q157449,85591,4644438/979746997/979746998/1193070322,"MULTILINESTRING ((11.7706748 48.0972526, 11.7714458 48.0969833, 11.7722795 48.0966754, 11.7727455 48.0965206, 11.7730189 48.0964299, 11.7732377 48.0963572, 11.7733308 48.0963229), (11.7733308 48.0963229, 11.7736548 48.0962036), (11.7736548 48.0962036, 11.7742224 48.0959946, 11.7745646 48.0958797, 11.7751157 48.0956946), (11.7751157 48.0956946, 11.7754944 48.0955742, 11.7755593 48.0955535))"
Flurweg,Q1434232,85591/85598,8149754/171247849/1059873144,"MULTILINESTRING ((11.7917886 48.1152124, 11.7914727 48.1152966, 11.7908596 48.1154738, 11.7895988 48.1158339), (11.7929176 48.1148223, 11.7928471 48.114872, 11.7928202 48.1148812, 11.7926599 48.114936, 11.7921919 48.1150845, 11.7917886 48.1152124), (11.7945437 48.115227, 11.7937502 48.1150351, 11.7932908 48.1149177, 11.7929176 48.1148223))"
Forstweg,Q4421,85646,24943835,"MULTILINESTRING ((11.8344923 48.1271889, 11.8345292 48.1271311, 11.8347342 48.1268106, 11.8348878 48.1265704))"
Franz-Kamerseder-Straße,Q115462633,85598,4648143,"MULTILINESTRING ((11.7832947 48.0986436, 11.7832805 48.098317, 11.783268 48.0980284, 11.7832406 48.0977716, 11.7831996 48.0973869))"
Franz-Lehar-Straße,Q191917,85591/85598,132513775/217157720,"MULTILINESTRING ((11.7840757 48.1009307, 11.7840439 48.101385, 11.7840234 48.101899, 11.7840172 48.1020528), (11.7840172 48.1020528, 11.7839982 48.1021905, 11.7839359 48.1023296, 11.7838592 48.1025161, 11.7838452 48.1025352, 11.7835742 48.1029061, 11.7833952 48.103094, 11.7830973 48.103361, 11.781942 48.104445, 11.7811112 48.1052451, 11.7805872 48.1057217, 11.77976 48.1065443))"
Franz-Liszt-Straße,Q41309,85591,171247850,"MULTILINESTRING ((11.77527 48.1040552, 11.7756849 48.1041773, 11.7761274 48.1042976, 11.7769001 48.1045779, 11.7775326 48.1048616, 11.777671 48.104968))"
Frauenschuhstraße,Q133773,85591,4692154,"MULTILINESTRING ((11.7751006 48.0990139, 11.7744942 48.098163, 11.7740974 48.0976171, 11.7736635 48.0969812, 11.7732377 48.0963572))"
Freundorferstraße,Q1504261,85591/85598,4684822/4684823/196379679,"MULTILINESTRING ((11.7851828 48.1034882, 11.7852273 48.1032372, 11.7852317 48.103222, 11.7852833 48.1030429, 11.7852965 48.1029285, 11.7853296 48.1026424), (11.7853296 48.1026424, 11.7853777 48.1018676, 11.7853803 48.1018249, 11.7853932 48.101413, 11.7853816 48.1011232, 11.7854283 48.1008745, 11.7854213 48.1005656), (11.7854213 48.1005656, 11.785451 48.1001497, 11.7855118 48.0999418))"
Friedenstraße,Q454,85591,4646753/8150250/25028507/33094491/732181475/975900343/976564008,"MULTILINESTRING ((11.7715349 48.1091645, 11.7725414 48.1088086, 11.7725826 48.1087881, 11.7726525 48.1087533, 11.7735068 48.1072271, 11.7735617 48.1071253, 11.7740983 48.10613, 11.7741737 48.1060546, 11.7742718 48.1059994), (11.7742718 48.1059994, 11.7742194 48.1059391), (11.7742194 48.1059391, 11.7744639 48.1054993, 11.7746973 48.1050796, 11.7749178 48.1046772, 11.7752131 48.1041384), (11.7752131 48.1041384, 11.77527 48.1040552, 11.7757405 48.1032477, 11.7758295 48.1029783), (11.7758295 48.1029783, 11.7756351 48.1028337, 11.7752281 48.102531), (11.7726525 48.1087533, 11.7725926 48.1088709), (11.7725926 48.1088709, 11.772408 48.1092333, 11.7721511 48.1097379, 11.7720406 48.1099751))"
Friedhofweg,Q39614,85646,23778210/201845528,"MULTILINESTRING ((11.832727 48.1316486, 11.8327127 48.1316047, 11.8327147 48.1311851, 11.8327162 48.130965, 11.8326855 48.1309297, 11.8326013 48.1308379), (11.8330122 48.1321214, 11.8329376 48.1319977, 11.832727 48.1316486))"
Frühlingstraße,Q1312,85598,4684638/132661382/228569312/790567863/790567864/832340984/832340985/868294782/868294783/1092547148,"MULTILINESTRING ((11.7880865 48.1004836, 11.7881399 48.1004528, 11.7881993 48.1004185), (11.7881993 48.1004185, 11.7885668 48.0999001), (11.7885668 48.0999001, 11.788641 48.0998265, 11.7886717 48.0998076, 11.7887549 48.0997566, 11.7888722 48.0997036), (11.7888722 48.0997036, 11.7894269 48.0995928, 11.7899307 48.0994978), (11.7899307 48.0994978, 11.7909343 48.099274, 11.7911309 48.0992281, 11.7911596 48.0992217, 11.791719 48.0990874), (11.791719 48.0990874, 11.7918933 48.0990246, 11.7921375 48.0990016, 11.7923085 48.098966, 11.7924124 48.0989402, 11.7925143 48.098899, 11.7928529 48.0988159, 11.793048 48.0987715, 11.7938517 48.0986039), (11.7938517 48.0986039, 11.794568 48.0984482, 11.7950995 48.0983256, 11.795686 48.0982288, 11.7965965 48.0980291, 11.7968544 48.0979664, 11.7972522 48.0978749, 11.7978647 48.0977287, 11.7984985 48.0975986, 11.7987864 48.09755, 11.7990554 48.0975003, 11.7992986 48.0974588, 11.7994726 48.0974381, 11.7998101 48.0973968, 11.8000161 48.097389, 11.8008729 48.0973142, 11.8011591 48.0972752, 11.8014497 48.0972234, 11.8018091 48.0971373, 11.8023227 48.0969629, 11.802559 48.0968752, 11.8026974 48.0968125, 11.8027574 48.0967672), (11.8029488 48.0967771, 11.8030366 48.0966815, 11.8030805 48.0966633), (11.8030805 48.0966633, 11.8035859 48.0965565), (11.8035859 48.0965565, 11.8051845 48.0962051))"
