Name,NamensherkunftWikidata,Postleitzahl,OSMWayIDs,Geometry
Am Lerchenfeld,Q29858,85599,301681320/301702674/301702675/301703405/304231870/304240340/304240341/304240342/304240343/304240344/304240783/304403115/304403116/304562921/304562932/304562933/304685850/406743891/406743892/899960142,"MULTILINESTRING ((11.7891644 48.1474289, 11.7891265 48.1474407, 11.789086 48.1474478, 11.7890443 48.1474499, 11.7890027 48.1474469, 11.7889626 48.147439, 11.7889252 48.1474263, 11.7888919 48.1474094), (11.789271 48.1472558, 11.7892779 48.1472815, 11.7892782 48.1473076, 11.789272 48.1473333, 11.7892593 48.147358, 11.7892405 48.1473809, 11.7892189 48.1473994, 11.7891934 48.1474155, 11.7891644 48.1474289), (11.7891881 48.1471733, 11.7892162 48.1471902, 11.7892398 48.14721, 11.7892582 48.147232, 11.789271 48.1472558), (11.7889791 48.1471487, 11.7890222 48.1471426, 11.7890662 48.1471422, 11.7891096 48.1471473, 11.7891507 48.1471578, 11.7891881 48.1471733), (11.7889791 48.1471487, 11.7890286 48.1471128, 11.7890653 48.1470517, 11.7890697 48.1470398, 11.7891103 48.1469296, 11.7891458 48.1467517, 11.7891722 48.1466513, 11.789225 48.1465647), (11.788867 48.1472, 11.788899 48.147178, 11.7889368 48.1471607, 11.7889791 48.1471487), (11.7888325 48.1473513, 11.7888214 48.1473257, 11.788817 48.1472992, 11.7888196 48.1472726, 11.788829 48.1472467, 11.788845 48.1472222, 11.788867 48.1472), (11.7888919 48.1474094, 11.7888677 48.1473922, 11.7888477 48.1473726, 11.7888325 48.1473513), (11.789225 48.1465647, 11.7892597 48.1466387, 11.7892548 48.1467109, 11.7892398 48.1467626, 11.7891971 48.1469317), (11.789225 48.1465647, 11.7892269 48.1464067, 11.7891943 48.1462733, 11.7891452 48.1461224), (11.7891452 48.1461224, 11.7890984 48.1460056, 11.7890594 48.1458513, 11.7890532 48.1456902), (11.7892628 48.1451224, 11.7892334 48.1451607, 11.7891956 48.1452276, 11.7891202 48.1454839, 11.7891046 48.1455851, 11.7890939 48.1456334, 11.7890532 48.1456902), (11.7892628 48.1451224, 11.7892275 48.1451279, 11.7891914 48.1451296, 11.7891552 48.1451274, 11.7891201 48.1451214, 11.7890869 48.1451117, 11.7890564 48.1450986), (11.7893539 48.1448728, 11.789379 48.1448929, 11.7893985 48.1449156, 11.7894119 48.1449402, 11.7894186 48.144966, 11.7894186 48.1449923, 11.7894117 48.1450182, 11.7893981 48.145043, 11.7893782 48.1450658, 11.7893527 48.1450859, 11.7893258 48.1451012, 11.7892956 48.1451134, 11.7892628 48.1451224), (11.7891272 48.144835, 11.7891672 48.1448293, 11.7892081 48.1448286, 11.7892484 48.1448328, 11.789287 48.1448418, 11.7893226 48.1448553, 11.7893539 48.1448728), (11.7890427 48.1448669, 11.7890684 48.1448536, 11.7890968 48.1448429, 11.7891272 48.144835), (11.7889682 48.1449873, 11.7889696 48.1449605, 11.7889781 48.1449342, 11.7889935 48.1449093, 11.7890152 48.1448866, 11.7890427 48.1448669), (11.7890564 48.1450986, 11.7890277 48.1450811, 11.7890039 48.1450606, 11.7889857 48.1450377, 11.7889737 48.145013, 11.7889682 48.1449873), (11.7890532 48.1456902, 11.7890124 48.1456239, 11.789021 48.1455513, 11.7890293 48.1454805, 11.7890651 48.1453242, 11.7890852 48.1452128, 11.7890784 48.1451366, 11.7890564 48.1450986), (11.7891971 48.1469317, 11.7891779 48.1470545, 11.789176 48.1470668, 11.7891748 48.1471316, 11.7891881 48.1471733))"
Am Mitterfeld,,85622,22295840/965029719/965029729,"MULTILINESTRING ((11.7676671 48.1343754, 11.7677399 48.1343393, 11.7683584 48.1340485, 11.7692468 48.1336594, 11.7693811 48.1335931), (11.7693811 48.1335931, 11.7697003 48.1334501), (11.7697003 48.1334501, 11.7708041 48.1329556, 11.7708648 48.1329173))"
Am Rain,,85622,22295844,"MULTILINESTRING ((11.7693811 48.1335931, 11.769155 48.1333247, 11.7688591 48.1330361, 11.7687966 48.1329752, 11.7685433 48.1327223, 11.7677344 48.132019, 11.7677027 48.1319914))"
Am Sommerfeld,,85622,22295843,"MULTILINESTRING ((11.7676219 48.133162, 11.7678739 48.13341, 11.7680763 48.1336034, 11.768233 48.1338139, 11.7683584 48.1340485))"
Am Sportpark,Q24035845,85591,131476755,"MULTILINESTRING ((11.783473 48.1086584, 11.782995 48.1094319, 11.7825389 48.1097375, 11.7821176 48.1103819, 11.7818618 48.1104218))"
Am Wiesengrund,,85646,24927268/24927282,"MULTILINESTRING ((11.8188951 48.1491929, 11.8188414 48.1491866, 11.8177472 48.1490531, 11.8176671 48.1491296, 11.8174381 48.149103, 11.8170334 48.149056, 11.8167963 48.1490284, 11.8165397 48.1490012, 11.8157678 48.1489052, 11.8156713 48.1488704, 11.8152584 48.1488141, 11.8150248 48.1488179, 11.8141782 48.1487007), (11.8167963 48.1490284, 11.8168776 48.148781, 11.8170143 48.1487909))"
Ammerthal,,85622,8226500,"MULTILINESTRING ((11.7603912 48.1439342, 11.7624524 48.1436659, 11.7643091 48.1434211, 11.7645749 48.1428318))"
Ammerthaler Weg,Q115471900,85622,157145846/345235517/965031218,"MULTILINESTRING ((11.7631599 48.13618, 11.7633695 48.1356587, 11.7636015 48.1351073, 11.7636055 48.1350384, 11.7635921 48.1350008, 11.7635454 48.1349542, 11.7634943 48.1349118), (11.7629339 48.1367785, 11.7629507 48.1367262, 11.763025 48.1365156, 11.7631599 48.13618), (11.7628911 48.1369011, 11.7629339 48.1367785))"
Amselweg,Q25234,85591,157296416/297975321,"MULTILINESTRING ((11.766346 48.1077491, 11.7681394 48.1065827, 11.7681772 48.1065581), (11.7659112 48.1075039, 11.766346 48.1077491, 11.7664616 48.1078912))"
Andreas-Herz-Straße,Q115462033,85598,4684826/893307532,"MULTILINESTRING ((11.7935324 48.0958947, 11.7934724 48.0967182, 11.7934584 48.0968048, 11.7933871 48.0968577, 11.7932394 48.0968971, 11.7927997 48.0969762, 11.7927379 48.0970095, 11.7927205 48.0970471), (11.7927205 48.0970471, 11.7927259 48.0970967, 11.7928255 48.0975358))"
Anemonenstraße,,85591,3731473/991621702/1192811947/1192812059,"MULTILINESTRING ((11.7651648 48.1015925, 11.7652905 48.1014684, 11.7658124 48.1009281, 11.7658867 48.1007897, 11.7660895 48.1005238, 11.7667228 48.0998442, 11.7671236 48.0992436, 11.7676353 48.0985963), (11.7676353 48.0985963, 11.7676913 48.0985224, 11.7677295 48.0984721, 11.7678993 48.098248, 11.7679954 48.098169, 11.7681023 48.0981295), (11.7681023 48.0981295, 11.7682126 48.0981172, 11.7683263 48.0981468), (11.7638077 48.1027732, 11.7638782 48.1027277, 11.7638868 48.1027221, 11.7641647 48.1024822, 11.76445 48.1022221, 11.7651648 48.1015925))"
Angerweg,,85646,212087644,"MULTILINESTRING ((11.8168798 48.1470422, 11.8153482 48.1468425, 11.8154131 48.1465741))"
Anton-Bruckner-Straße,Q81752,85591,4688832,"MULTILINESTRING ((11.7789312 48.1061583, 11.7791849 48.105974, 11.7793982 48.1057546, 11.7808526 48.1041151, 11.7823033 48.102495, 11.7823283 48.1024671))"
Anzinger Straße,Q522378,85646,24928636,"MULTILINESTRING ((11.8292425 48.149609, 11.8295936 48.1491471, 11.8298789 48.1487842, 11.8302518 48.1484862))"
Anzinger Straße,Q522378,85646,787766950,"MULTILINESTRING ((11.834942 48.1307985, 11.8347137 48.1308223, 11.8345018 48.1308547, 11.833914 48.1309648, 11.8338602 48.1309753, 11.8338211 48.1309764, 11.8337621 48.1309718, 11.8337213 48.1309631))"
