stimmbezirk,stimmbezirkNr,partei,stimmen,stimmzettelNurListenkreuz,stimmzettelNurEineListe
Gesamt,NA,CSU,149484,1954,3467
Gesamt,NA,FW,47858,652,851
Gesamt,NA,Grüne,70483,1163,1469
Gesamt,NA,SPD,68610,944,1343
Gesamt,NA,FDP,22444,273,371
Stimmbezirk 01,1,CSU,3289,30,85
Stimmbezirk 01,1,FW,926,16,21
Stimmbezirk 01,1,Grüne,1016,20,27
Stimmbezirk 01,1,SPD,914,12,21
Stimmbezirk 01,1,FDP,351,5,6
Stimmbezirk 02,2,CSU,2658,28,73
Stimmbezirk 02,2,FW,387,8,9
Stimmbezirk 02,2,Grüne,573,12,14
Stimmbezirk 02,2,SPD,541,11,13
Stimmbezirk 02,2,FDP,74,0,0
Stimmbezirk 03,3,CSU,4776,38,115
Stimmbezirk 03,3,FW,1201,23,28
Stimmbezirk 03,3,Grüne,1270,27,31
Stimmbezirk 03,3,SPD,1260,17,24
Stimmbezirk 03,3,FDP,400,4,5
Stimmbezirk 04,4,CSU,2121,34,53
Stimmbezirk 04,4,FW,958,17,24
Stimmbezirk 04,4,Grüne,1390,27,31
Stimmbezirk 04,4,SPD,1365,25,32
Stimmbezirk 04,4,FDP,548,7,13
Stimmbezirk 05,5,CSU,1472,21,41
Stimmbezirk 05,5,FW,487,8,12
Stimmbezirk 05,5,Grüne,1458,26,36
Stimmbezirk 05,5,SPD,1218,15,27
Stimmbezirk 05,5,FDP,351,7,7
Stimmbezirk 06,6,CSU,2195,37,63
Stimmbezirk 06,6,FW,979,17,22
Stimmbezirk 06,6,Grüne,1608,40,42
Stimmbezirk 06,6,SPD,1180,15,22
Stimmbezirk 06,6,FDP,453,9,11
Stimmbezirk 07,7,CSU,2601,44,75
Stimmbezirk 07,7,FW,859,14,18
Stimmbezirk 07,7,Grüne,1994,38,46
Stimmbezirk 07,7,SPD,1233,23,28
Stimmbezirk 07,7,FDP,417,9,10
Stimmbezirk 08,8,CSU,1801,26,48
Stimmbezirk 08,8,FW,948,22,26
Stimmbezirk 08,8,Grüne,1275,21,29
Stimmbezirk 08,8,SPD,1160,20,24
Stimmbezirk 08,8,FDP,242,4,6
Stimmbezirk 09,9,CSU,2580,40,72
Stimmbezirk 09,9,FW,783,12,13
Stimmbezirk 09,9,Grüne,1207,26,30
Stimmbezirk 09,9,SPD,1035,17,26
Stimmbezirk 09,9,FDP,422,6,8
Stimmbezirk 10,10,CSU,2226,24,59
Stimmbezirk 10,10,FW,792,12,19
Stimmbezirk 10,10,Grüne,1466,20,35
Stimmbezirk 10,10,SPD,1343,23,36
Stimmbezirk 10,10,FDP,271,1,4
Stimmbezirk 11,11,CSU,2260,37,55
Stimmbezirk 11,11,FW,702,11,14
Stimmbezirk 11,11,Grüne,1174,20,27
Stimmbezirk 11,11,SPD,953,9,18
Stimmbezirk 11,11,FDP,271,4,4
Stimmbezirk 12,12,CSU,1673,28,43
Stimmbezirk 12,12,FW,617,9,13
Stimmbezirk 12,12,Grüne,707,12,15
Stimmbezirk 12,12,SPD,930,21,24
Stimmbezirk 12,12,FDP,141,0,1
Stimmbezirk 13,13,CSU,2170,37,49
Stimmbezirk 13,13,FW,583,10,11
Stimmbezirk 13,13,Grüne,1304,22,30
Stimmbezirk 13,13,SPD,1287,21,30
Stimmbezirk 13,13,FDP,359,7,9
Stimmbezirk 14,14,CSU,2280,39,63
Stimmbezirk 14,14,FW,780,11,16
Stimmbezirk 14,14,Grüne,1345,20,26
Stimmbezirk 14,14,SPD,1496,25,31
Stimmbezirk 14,14,FDP,317,5,8
Stimmbezirk 15,15,CSU,1692,35,49
Stimmbezirk 15,15,FW,812,21,22
Stimmbezirk 15,15,Grüne,778,14,17
Stimmbezirk 15,15,SPD,1515,29,38
Stimmbezirk 15,15,FDP,228,3,6
Stimmbezirk 16,16,CSU,1320,20,36
Stimmbezirk 16,16,FW,393,6,9
Stimmbezirk 16,16,Grüne,912,17,24
Stimmbezirk 16,16,SPD,1159,25,32
Stimmbezirk 16,16,FDP,241,3,4
Stimmbezirk 17,17,CSU,1933,26,48
Stimmbezirk 17,17,FW,487,6,9
Stimmbezirk 17,17,Grüne,725,14,16
Stimmbezirk 17,17,SPD,941,15,19
Stimmbezirk 17,17,FDP,279,5,8
Stimmbezirk 18,18,CSU,2245,32,57
Stimmbezirk 18,18,FW,725,9,17
Stimmbezirk 18,18,Grüne,948,16,18
Stimmbezirk 18,18,SPD,994,15,22
Stimmbezirk 18,18,FDP,393,6,11
Stimmbezirk 19,19,CSU,2292,27,57
Stimmbezirk 19,19,FW,454,8,9
Stimmbezirk 19,19,Grüne,1151,21,30
