stimmbezirk,stimmbezirkNr,partei,listenNr,stimmen,erreichterPlatz
Gesamt,NA,CSU,1,9804,1
Gesamt,NA,CSU,2,6193,8
Gesamt,NA,CSU,3,6646,4
Gesamt,NA,CSU,4,6967,3
Gesamt,NA,CSU,5,6205,7
Gesamt,NA,CSU,6,5153,12
Gesamt,NA,CSU,7,6097,9
Gesamt,NA,CSU,8,5725,11
Gesamt,NA,CSU,9,6550,5
Gesamt,NA,CSU,10,4446,15
Gesamt,NA,CSU,11,4417,17
Gesamt,NA,CSU,12,5734,10
Gesamt,NA,CSU,13,4601,14
Gesamt,NA,CSU,14,4137,22
Gesamt,NA,CSU,15,6392,6
Gesamt,NA,CSU,16,4440,16
Gesamt,NA,CSU,17,4378,18
Gesamt,NA,CSU,18,7433,2
Gesamt,NA,CSU,19,4263,20
Gesamt,NA,CSU,20,4196,21
Gesamt,NA,CSU,21,3463,25
Gesamt,NA,CSU,22,2916,30
Gesamt,NA,CSU,23,2962,29
Gesamt,NA,CSU,24,3202,27
Gesamt,NA,CSU,25,4871,13
Gesamt,NA,CSU,26,3924,23
Gesamt,NA,CSU,27,3116,28
Gesamt,NA,CSU,28,3438,26
Gesamt,NA,CSU,29,3493,24
Gesamt,NA,CSU,30,4322,19
Gesamt,NA,FW,1,3926,2
Gesamt,NA,FW,2,2786,5
Gesamt,NA,FW,3,3040,4
Gesamt,NA,FW,4,1430,7
Gesamt,NA,FW,5,4694,1
Gesamt,NA,FW,6,1360,12
Gesamt,NA,FW,7,1355,13
Gesamt,NA,FW,8,1189,21
Gesamt,NA,FW,9,1375,11
Gesamt,NA,FW,10,1390,9
Gesamt,NA,FW,11,1345,14
Gesamt,NA,FW,12,1121,22
Gesamt,NA,FW,13,900,29
Gesamt,NA,FW,14,1193,20
Gesamt,NA,FW,15,1330,15
Gesamt,NA,FW,16,1492,6
Gesamt,NA,FW,17,997,23
Gesamt,NA,FW,18,1278,18
Gesamt,NA,FW,19,1387,10
Gesamt,NA,FW,20,1297,17
Gesamt,NA,FW,21,903,27
Gesamt,NA,FW,22,880,30
Gesamt,NA,FW,23,972,25
Gesamt,NA,FW,24,1224,19
Gesamt,NA,FW,25,969,26
Gesamt,NA,FW,26,973,24
Gesamt,NA,FW,27,901,28
Gesamt,NA,FW,28,1304,16
Gesamt,NA,FW,29,1411,8
Gesamt,NA,FW,30,3436,3
Gesamt,NA,Grüne,1,4875,1
Gesamt,NA,Grüne,2,3614,4
Gesamt,NA,Grüne,3,4169,2
Gesamt,NA,Grüne,4,3019,7
Gesamt,NA,Grüne,5,2557,9
Gesamt,NA,Grüne,6,3587,5
Gesamt,NA,Grüne,7,3310,6
Gesamt,NA,Grüne,8,3895,3
Gesamt,NA,Grüne,9,2392,11
Gesamt,NA,Grüne,10,1906,17
Gesamt,NA,Grüne,11,2395,10
Gesamt,NA,Grüne,12,1634,24
Gesamt,NA,Grüne,13,1788,21
Gesamt,NA,Grüne,14,1742,22
Gesamt,NA,Grüne,15,1956,16
Gesamt,NA,Grüne,16,1734,23
Gesamt,NA,Grüne,17,1856,19
Gesamt,NA,Grüne,18,2084,14
Gesamt,NA,Grüne,19,2628,8
Gesamt,NA,Grüne,20,2170,12
Gesamt,NA,Grüne,21,1468,29
Gesamt,NA,Grüne,22,1798,20
Gesamt,NA,Grüne,23,1896,18
Gesamt,NA,Grüne,24,1594,28
Gesamt,NA,Grüne,25,1600,27
Gesamt,NA,Grüne,26,2036,15
Gesamt,NA,Grüne,27,1630,25
Gesamt,NA,Grüne,28,1392,30
Gesamt,NA,Grüne,29,2147,13
Gesamt,NA,Grüne,30,1611,26
Gesamt,NA,SPD,1,8926,1
Gesamt,NA,SPD,2,3716,3
Gesamt,NA,SPD,3,4286,2
Gesamt,NA,SPD,4,2605,7
Gesamt,NA,SPD,5,3527,4
Gesamt,NA,SPD,6,2962,5
Gesamt,NA,SPD,7,2658,6
Gesamt,NA,SPD,8,2183,10
Gesamt,NA,SPD,9,2585,8
Gesamt,NA,SPD,10,2359,9
Gesamt,NA,SPD,11,1892,14
Gesamt,NA,SPD,12,1863,15
Gesamt,NA,SPD,13,1670,19
Gesamt,NA,SPD,14,1833,16
Gesamt,NA,SPD,15,2015,11
Gesamt,NA,SPD,16,1924,13
Gesamt,NA,SPD,17,1992,12
Gesamt,NA,SPD,18,1507,24
Gesamt,NA,SPD,19,1534,22
Gesamt,NA,SPD,20,1738,18
Gesamt,NA,SPD,21,1524,23
Gesamt,NA,SPD,22,1618,20
Gesamt,NA,SPD,23,1430,27
Gesamt,NA,SPD,24,1475,25
Gesamt,NA,SPD,25,1336,29
Gesamt,NA,SPD,26,1471,26
Gesamt,NA,SPD,27,1400,28
Gesamt,NA,SPD,28,1268,30
Gesamt,NA,SPD,29,1764,17
Gesamt,NA,SPD,30,1549,21
Gesamt,NA,FDP,1,2478,2
Gesamt,NA,FDP,2,1876,4
Gesamt,NA,FDP,3,1902,3
Gesamt,NA,FDP,4,1518,5
Gesamt,NA,FDP,5,1288,7
Gesamt,NA,FDP,6,3382,1
Gesamt,NA,FDP,7,1186,9
Gesamt,NA,FDP,8,1277,8
Gesamt,NA,FDP,9,1318,6
Gesamt,NA,FDP,10,604,10
Gesamt,NA,FDP,11,489,17
Gesamt,NA,FDP,12,449,20
Gesamt,NA,FDP,13,523,14
Gesamt,NA,FDP,14,601,11
Gesamt,NA,FDP,15,518,15
Gesamt,NA,FDP,16,551,13
Gesamt,NA,FDP,17,453,19
Gesamt,NA,FDP,18,486,18
Gesamt,NA,FDP,19,436,21
Gesamt,NA,FDP,20,591,12
Gesamt,NA,FDP,21,518,16
Stimmbezirk 01,1,CSU,1,250,2
Stimmbezirk 01,1,CSU,2,123,9
Stimmbezirk 01,1,CSU,3,126,8
Stimmbezirk 01,1,CSU,4,157,5
Stimmbezirk 01,1,CSU,5,121,10
Stimmbezirk 01,1,CSU,6,90,17
Stimmbezirk 01,1,CSU,7,178,4
Stimmbezirk 01,1,CSU,8,107,12
Stimmbezirk 01,1,CSU,9,103,14
Stimmbezirk 01,1,CSU,10,106,13
Stimmbezirk 01,1,CSU,11,77,20
Stimmbezirk 01,1,CSU,12,261,1
Stimmbezirk 01,1,CSU,13,75,21
Stimmbezirk 01,1,CSU,14,70,24
Stimmbezirk 01,1,CSU,15,138,6
Stimmbezirk 01,1,CSU,16,95,16
Stimmbezirk 01,1,CSU,17,78,19
Stimmbezirk 01,1,CSU,18,211,3
Stimmbezirk 01,1,CSU,19,82,18
Stimmbezirk 01,1,CSU,20,115,11
Stimmbezirk 01,1,CSU,21,69,25
Stimmbezirk 01,1,CSU,22,58,28
Stimmbezirk 01,1,CSU,23,61,27
Stimmbezirk 01,1,CSU,24,98,15
Stimmbezirk 01,1,CSU,25,71,22
Stimmbezirk 01,1,CSU,26,71,23
Stimmbezirk 01,1,CSU,27,53,29
Stimmbezirk 01,1,CSU,28,62,26
Stimmbezirk 01,1,CSU,29,48,30
Stimmbezirk 01,1,CSU,30,135,7
Stimmbezirk 01,1,FW,1,65,1
Stimmbezirk 01,1,FW,2,45,3
Stimmbezirk 01,1,FW,3,40,5
Stimmbezirk 01,1,FW,4,23,23
Stimmbezirk 01,1,FW,5,49,2
Stimmbezirk 01,1,FW,6,28,14
Stimmbezirk 01,1,FW,7,39,6
Stimmbezirk 01,1,FW,8,27,15
