schule,wohnort,schuljahresbeginn,schueler
Staatliche Realschule Vaterstetten,Egmating,2023,9
Staatliche Realschule Vaterstetten,Glonn,2019,5
Staatliche Realschule Vaterstetten,Glonn,2020,3
Staatliche Realschule Vaterstetten,Glonn,2021,4
Staatliche Realschule Vaterstetten,Glonn,2022,5
Staatliche Realschule Vaterstetten,Glonn,2023,5
Staatliche Realschule Vaterstetten,Grafing,2019,4
Staatliche Realschule Vaterstetten,Grafing,2020,5
Staatliche Realschule Vaterstetten,Grafing,2021,5
Staatliche Realschule Vaterstetten,Grafing,2022,3
Staatliche Realschule Vaterstetten,Grafing,2023,6
Staatliche Realschule Vaterstetten,Kirchseeon,2019,138
Staatliche Realschule Vaterstetten,Kirchseeon,2020,119
Staatliche Realschule Vaterstetten,Kirchseeon,2021,111
Staatliche Realschule Vaterstetten,Kirchseeon,2022,91
Staatliche Realschule Vaterstetten,Kirchseeon,2023,88
Staatliche Realschule Vaterstetten,LK Erding,2019,1
Staatliche Realschule Vaterstetten,LK Erding,2020,1
Staatliche Realschule Vaterstetten,LK Erding,2023,1
Staatliche Realschule Vaterstetten,LK München,2019,336
Staatliche Realschule Vaterstetten,LK München,2020,350
Staatliche Realschule Vaterstetten,LK München,2021,338
Staatliche Realschule Vaterstetten,LK München,2022,319
Staatliche Realschule Vaterstetten,LK München,2023,330
Staatliche Realschule Vaterstetten,Moosach,2021,1
Staatliche Realschule Vaterstetten,Moosach,2022,1
Staatliche Realschule Vaterstetten,Moosach,2023,1
Staatliche Realschule Vaterstetten,Oberpframmern,2019,30
Staatliche Realschule Vaterstetten,Oberpframmern,2020,24
Staatliche Realschule Vaterstetten,Oberpframmern,2021,18
Staatliche Realschule Vaterstetten,Oberpframmern,2022,14
Staatliche Realschule Vaterstetten,Oberpframmern,2023,11
Staatliche Realschule Vaterstetten,Poing,2019,3
Staatliche Realschule Vaterstetten,Poing,2023,2
Staatliche Realschule Vaterstetten,Stadt München,2019,136
Staatliche Realschule Vaterstetten,Stadt München,2020,124
Staatliche Realschule Vaterstetten,Stadt München,2021,114
Staatliche Realschule Vaterstetten,Stadt München,2022,115
Staatliche Realschule Vaterstetten,Stadt München,2023,100
Staatliche Realschule Vaterstetten,Steinhöring,2019,1
Staatliche Realschule Vaterstetten,Steinhöring,2020,1
Staatliche Realschule Vaterstetten,Steinhöring,2021,1
Staatliche Realschule Vaterstetten,Steinhöring,2022,1
Staatliche Realschule Vaterstetten,Vaterstetten,2019,326
Staatliche Realschule Vaterstetten,Vaterstetten,2020,344
Staatliche Realschule Vaterstetten,Vaterstetten,2021,351
Staatliche Realschule Vaterstetten,Vaterstetten,2022,357
Staatliche Realschule Vaterstetten,Vaterstetten,2023,370
Staatliche Realschule Vaterstetten,Zorneding,2019,119
Staatliche Realschule Vaterstetten,Zorneding,2020,130
Staatliche Realschule Vaterstetten,Zorneding,2021,133
Staatliche Realschule Vaterstetten,Zorneding,2022,114
Staatliche Realschule Vaterstetten,Zorneding,2023,105
