Stimmbezirk,ParteiKuerzel,Stimmen
Stimmbezirk 13,Tierschutzpartei,0
Stimmbezirk 13,BP,1
Stimmbezirk 13,Die PARTEI,0
Stimmbezirk 13,Piraten,0
Stimmbezirk 13,NPD,0
Stimmbezirk 13,V-Partei³,0
Stimmbezirk 13,Gesundheitsforschung,0
Stimmbezirk 13,MLPD,0
Stimmbezirk 13,DKP,0
Stimmbezirk 13,dieBasis,7
Stimmbezirk 13,Bündnis C,0
Stimmbezirk 13,III. Weg,0
Stimmbezirk 13,du.,0
Stimmbezirk 13,LKR,0
Stimmbezirk 13,PdH,0
Stimmbezirk 13,Team Todenhöfer,0
Stimmbezirk 13,UNABHÄNGIGE,0
Stimmbezirk 13,Volt,0
Stimmbezirk 14,CSU,183
Stimmbezirk 14,SPD,69
Stimmbezirk 14,AfD,27
Stimmbezirk 14,FDP,53
Stimmbezirk 14,Grüne,69
Stimmbezirk 14,Die Linke,13
Stimmbezirk 14,FW,16
Stimmbezirk 14,ÖDP,5
Stimmbezirk 14,Tierschutzpartei,0
Stimmbezirk 14,BP,3
Stimmbezirk 14,Die PARTEI,0
Stimmbezirk 14,Piraten,0
Stimmbezirk 14,NPD,0
Stimmbezirk 14,V-Partei³,0
Stimmbezirk 14,Gesundheitsforschung,0
Stimmbezirk 14,MLPD,0
Stimmbezirk 14,DKP,0
Stimmbezirk 14,dieBasis,3
Stimmbezirk 14,Bündnis C,0
Stimmbezirk 14,III. Weg,0
Stimmbezirk 14,du.,0
Stimmbezirk 14,LKR,0
Stimmbezirk 14,PdH,0
Stimmbezirk 14,Team Todenhöfer,0
Stimmbezirk 14,UNABHÄNGIGE,0
Stimmbezirk 14,Volt,0
Stimmbezirk 31,CSU,630
Stimmbezirk 31,SPD,157
Stimmbezirk 31,AfD,63
Stimmbezirk 31,FDP,99
Stimmbezirk 31,Grüne,138
Stimmbezirk 31,Die Linke,16
Stimmbezirk 31,FW,82
Stimmbezirk 31,ÖDP,13
Stimmbezirk 31,Tierschutzpartei,0
Stimmbezirk 31,BP,9
Stimmbezirk 31,Die PARTEI,0
Stimmbezirk 31,Piraten,0
Stimmbezirk 31,NPD,0
Stimmbezirk 31,V-Partei³,0
Stimmbezirk 31,Gesundheitsforschung,0
Stimmbezirk 31,MLPD,0
Stimmbezirk 31,DKP,0
Stimmbezirk 31,dieBasis,22
Stimmbezirk 31,Bündnis C,0
Stimmbezirk 31,III. Weg,0
Stimmbezirk 31,du.,0
Stimmbezirk 31,LKR,0
Stimmbezirk 31,PdH,0
Stimmbezirk 31,Team Todenhöfer,0
Stimmbezirk 31,UNABHÄNGIGE,0
Stimmbezirk 31,Volt,0
Stimmbezirk 32,CSU,251
Stimmbezirk 32,SPD,85
Stimmbezirk 32,AfD,16
Stimmbezirk 32,FDP,57
Stimmbezirk 32,Grüne,130
Stimmbezirk 32,Die Linke,10
Stimmbezirk 32,FW,25
Stimmbezirk 32,ÖDP,11
Stimmbezirk 32,Tierschutzpartei,0
Stimmbezirk 32,BP,1
Stimmbezirk 32,Die PARTEI,0
Stimmbezirk 32,Piraten,0
Stimmbezirk 32,NPD,0
Stimmbezirk 32,V-Partei³,0
Stimmbezirk 32,Gesundheitsforschung,0
Stimmbezirk 32,MLPD,0
Stimmbezirk 32,DKP,0
Stimmbezirk 32,dieBasis,7
Stimmbezirk 32,Bündnis C,0
Stimmbezirk 32,III. Weg,0
Stimmbezirk 32,du.,0
Stimmbezirk 32,LKR,0
Stimmbezirk 32,PdH,0
Stimmbezirk 32,Team Todenhöfer,0
Stimmbezirk 32,UNABHÄNGIGE,0
Stimmbezirk 32,Volt,0
Stimmbezirk 33,CSU,442
Stimmbezirk 33,SPD,189
Stimmbezirk 33,AfD,41
Stimmbezirk 33,FDP,147
Stimmbezirk 33,Grüne,249
Stimmbezirk 33,Die Linke,17
Stimmbezirk 33,FW,43
Stimmbezirk 33,ÖDP,7
Stimmbezirk 33,Tierschutzpartei,0
Stimmbezirk 33,BP,6
Stimmbezirk 33,Die PARTEI,0
Stimmbezirk 33,Piraten,0
Stimmbezirk 33,NPD,0
Stimmbezirk 33,V-Partei³,0
Stimmbezirk 33,Gesundheitsforschung,0
Stimmbezirk 33,MLPD,0
Stimmbezirk 33,DKP,0
Stimmbezirk 33,dieBasis,7
Stimmbezirk 33,Bündnis C,0
Stimmbezirk 33,III. Weg,0
Stimmbezirk 33,du.,0
Stimmbezirk 33,LKR,0
Stimmbezirk 33,PdH,0
Stimmbezirk 33,Team Todenhöfer,0
Stimmbezirk 33,UNABHÄNGIGE,0
Stimmbezirk 33,Volt,0
Stimmbezirk 34,CSU,309
Stimmbezirk 34,SPD,114
Stimmbezirk 34,AfD,24
Stimmbezirk 34,FDP,98
Stimmbezirk 34,Grüne,166
Stimmbezirk 34,Die Linke,8
Stimmbezirk 34,FW,29
Stimmbezirk 34,ÖDP,8
Stimmbezirk 34,Tierschutzpartei,0
Stimmbezirk 34,BP,13
Stimmbezirk 34,Die PARTEI,0
Stimmbezirk 34,Piraten,0
Stimmbezirk 34,NPD,0
Stimmbezirk 34,V-Partei³,0
Stimmbezirk 34,Gesundheitsforschung,0
Stimmbezirk 34,MLPD,0
Stimmbezirk 34,DKP,0
Stimmbezirk 34,dieBasis,12
Stimmbezirk 34,Bündnis C,0
Stimmbezirk 34,III. Weg,0
Stimmbezirk 34,du.,0
Stimmbezirk 34,LKR,0
Stimmbezirk 34,PdH,0
Stimmbezirk 34,Team Todenhöfer,0
Stimmbezirk 34,UNABHÄNGIGE,0
Stimmbezirk 34,Volt,0
Stimmbezirk 35,CSU,274
Stimmbezirk 35,SPD,109
Stimmbezirk 35,AfD,26
Stimmbezirk 35,FDP,86
Stimmbezirk 35,Grüne,127
Stimmbezirk 35,Die Linke,19
Stimmbezirk 35,FW,36
Stimmbezirk 35,ÖDP,9
Stimmbezirk 35,Tierschutzpartei,0
Stimmbezirk 35,BP,7
Stimmbezirk 35,Die PARTEI,0
Stimmbezirk 35,Piraten,0
Stimmbezirk 35,NPD,0
Stimmbezirk 35,V-Partei³,0
Stimmbezirk 35,Gesundheitsforschung,0
Stimmbezirk 35,MLPD,0
Stimmbezirk 35,DKP,0
Stimmbezirk 35,dieBasis,18
Stimmbezirk 35,Bündnis C,0
Stimmbezirk 35,III. Weg,0
Stimmbezirk 35,du.,0
Stimmbezirk 35,LKR,0
Stimmbezirk 35,PdH,0
Stimmbezirk 35,Team Todenhöfer,0
Stimmbezirk 35,UNABHÄNGIGE,0
Stimmbezirk 35,Volt,0
Stimmbezirk 36,CSU,342
Stimmbezirk 36,SPD,110
Stimmbezirk 36,AfD,19
Stimmbezirk 36,FDP,74
Stimmbezirk 36,Grüne,152
Stimmbezirk 36,Die Linke,15
Stimmbezirk 36,FW,16
Stimmbezirk 36,ÖDP,8
Stimmbezirk 36,Tierschutzpartei,0
Stimmbezirk 36,BP,3
Stimmbezirk 36,Die PARTEI,0
Stimmbezirk 36,Piraten,0
Stimmbezirk 36,NPD,0
Stimmbezirk 36,V-Partei³,0
Stimmbezirk 36,Gesundheitsforschung,0
Stimmbezirk 36,MLPD,0
Stimmbezirk 36,DKP,0
Stimmbezirk 36,dieBasis,9
Stimmbezirk 36,Bündnis C,0
Stimmbezirk 36,III. Weg,0
Stimmbezirk 36,du.,0
Stimmbezirk 36,LKR,0
Stimmbezirk 36,PdH,0
Stimmbezirk 36,Team Todenhöfer,0
Stimmbezirk 36,UNABHÄNGIGE,0
Stimmbezirk 36,Volt,0
Stimmbezirk 37,CSU,302
Stimmbezirk 37,SPD,119
Stimmbezirk 37,AfD,18
Stimmbezirk 37,FDP,64
Stimmbezirk 37,Grüne,130
Stimmbezirk 37,Die Linke,17
Stimmbezirk 37,FW,24
Stimmbezirk 37,ÖDP,3
Stimmbezirk 37,Tierschutzpartei,0
Stimmbezirk 37,BP,2
Stimmbezirk 37,Die PARTEI,0
Stimmbezirk 37,Piraten,0
Stimmbezirk 37,NPD,0
Stimmbezirk 37,V-Partei³,0
Stimmbezirk 37,Gesundheitsforschung,0
Stimmbezirk 37,MLPD,0
Stimmbezirk 37,DKP,0
Stimmbezirk 37,dieBasis,13
Stimmbezirk 37,Bündnis C,0
Stimmbezirk 37,III. Weg,0
Stimmbezirk 37,du.,0
Stimmbezirk 37,LKR,0
Stimmbezirk 37,PdH,0
Stimmbezirk 37,Team Todenhöfer,0
Stimmbezirk 37,UNABHÄNGIGE,0
Stimmbezirk 37,Volt,0
Stimmbezirk 38,CSU,240
Stimmbezirk 38,SPD,120
Stimmbezirk 38,AfD,17
Stimmbezirk 38,FDP,53
Stimmbezirk 38,Grüne,92
Stimmbezirk 38,Die Linke,11
Stimmbezirk 38,FW,21
Stimmbezirk 38,ÖDP,5
Stimmbezirk 38,Tierschutzpartei,0
Stimmbezirk 38,BP,3
Stimmbezirk 38,Die PARTEI,0
Stimmbezirk 38,Piraten,0
Stimmbezirk 38,NPD,0
Stimmbezirk 38,V-Partei³,0
Stimmbezirk 38,Gesundheitsforschung,0
Stimmbezirk 38,MLPD,0
Stimmbezirk 38,DKP,0
Stimmbezirk 38,dieBasis,3
Stimmbezirk 38,Bündnis C,0
Stimmbezirk 38,III. Weg,0
Stimmbezirk 38,du.,0
Stimmbezirk 38,LKR,0
Stimmbezirk 38,PdH,0
Stimmbezirk 38,Team Todenhöfer,0
Stimmbezirk 38,UNABHÄNGIGE,0
Stimmbezirk 38,Volt,0
Stimmbezirk 39,CSU,281
Stimmbezirk 39,SPD,92
Stimmbezirk 39,AfD,22
Stimmbezirk 39,FDP,59
Stimmbezirk 39,Grüne,119
Stimmbezirk 39,Die Linke,14
Stimmbezirk 39,FW,34
Stimmbezirk 39,ÖDP,2
Stimmbezirk 39,Tierschutzpartei,0
Stimmbezirk 39,BP,4
Stimmbezirk 39,Die PARTEI,0
Stimmbezirk 39,Piraten,0
Stimmbezirk 39,NPD,0
Stimmbezirk 39,V-Partei³,0
Stimmbezirk 39,Gesundheitsforschung,0
Stimmbezirk 39,MLPD,0
Stimmbezirk 39,DKP,0
Stimmbezirk 39,dieBasis,12
Stimmbezirk 39,Bündnis C,0
Stimmbezirk 39,III. Weg,0
Stimmbezirk 39,du.,0
Stimmbezirk 39,LKR,0
Stimmbezirk 39,PdH,0
Stimmbezirk 39,Team Todenhöfer,0
Stimmbezirk 39,UNABHÄNGIGE,0
Stimmbezirk 39,Volt,0
Stimmbezirk 40,CSU,321
Stimmbezirk 40,SPD,96
Stimmbezirk 40,AfD,18
Stimmbezirk 40,FDP,72
Stimmbezirk 40,Grüne,152
Stimmbezirk 40,Die Linke,6
Stimmbezirk 40,FW,21
Stimmbezirk 40,ÖDP,1
Stimmbezirk 40,Tierschutzpartei,0
Stimmbezirk 40,BP,5
Stimmbezirk 40,Die PARTEI,0
Stimmbezirk 40,Piraten,0
Stimmbezirk 40,NPD,0
Stimmbezirk 40,V-Partei³,0
Stimmbezirk 40,Gesundheitsforschung,0
Stimmbezirk 40,MLPD,0
Stimmbezirk 40,DKP,0
Stimmbezirk 40,dieBasis,6
Stimmbezirk 40,Bündnis C,0
Stimmbezirk 40,III. Weg,0
Stimmbezirk 40,du.,0
Stimmbezirk 40,LKR,0
Stimmbezirk 40,PdH,0
Stimmbezirk 40,Team Todenhöfer,0
Stimmbezirk 40,UNABHÄNGIGE,0
Stimmbezirk 40,Volt,0
Stimmbezirk 41,CSU,311
Stimmbezirk 41,SPD,95
Stimmbezirk 41,AfD,22
Stimmbezirk 41,FDP,75
Stimmbezirk 41,Grüne,131
Stimmbezirk 41,Die Linke,17
Stimmbezirk 41,FW,25
Stimmbezirk 41,ÖDP,5
Stimmbezirk 41,Tierschutzpartei,0
Stimmbezirk 41,BP,4
Stimmbezirk 41,Die PARTEI,0
Stimmbezirk 41,Piraten,0
Stimmbezirk 41,NPD,0
Stimmbezirk 41,V-Partei³,0
Stimmbezirk 41,Gesundheitsforschung,0
Stimmbezirk 41,MLPD,0
Stimmbezirk 41,DKP,0
Stimmbezirk 41,dieBasis,10
Stimmbezirk 41,Bündnis C,0
Stimmbezirk 41,III. Weg,0
Stimmbezirk 41,du.,0
Stimmbezirk 41,LKR,0
Stimmbezirk 41,PdH,0
Stimmbezirk 41,Team Todenhöfer,0
Stimmbezirk 41,UNABHÄNGIGE,0
Stimmbezirk 41,Volt,0
Stimmbezirk 42,CSU,328
Stimmbezirk 42,SPD,71
Stimmbezirk 42,AfD,30
Stimmbezirk 42,FDP,67
Stimmbezirk 42,Grüne,100
Stimmbezirk 42,Die Linke,9
Stimmbezirk 42,FW,21
Stimmbezirk 42,ÖDP,5
Stimmbezirk 42,Tierschutzpartei,0
Stimmbezirk 42,BP,3
Stimmbezirk 42,Die PARTEI,0
Stimmbezirk 42,Piraten,0
Stimmbezirk 42,NPD,0
Stimmbezirk 42,V-Partei³,0
Stimmbezirk 42,Gesundheitsforschung,0
Stimmbezirk 42,MLPD,0
Stimmbezirk 42,DKP,0
Stimmbezirk 42,dieBasis,5
Stimmbezirk 42,Bündnis C,0
Stimmbezirk 42,III. Weg,0
Stimmbezirk 42,du.,0
Stimmbezirk 42,LKR,0
Stimmbezirk 42,PdH,0
Stimmbezirk 42,Team Todenhöfer,0
Stimmbezirk 42,UNABHÄNGIGE,0
Stimmbezirk 42,Volt,0
Stimmbezirk 43,CSU,289
Stimmbezirk 43,SPD,120
Stimmbezirk 43,AfD,26
Stimmbezirk 43,FDP,61
Stimmbezirk 43,Grüne,146
Stimmbezirk 43,Die Linke,17
Stimmbezirk 43,FW,44
Stimmbezirk 43,ÖDP,6
Stimmbezirk 43,Tierschutzpartei,0
Stimmbezirk 43,BP,7
Stimmbezirk 43,Die PARTEI,0
Stimmbezirk 43,Piraten,0
Stimmbezirk 43,NPD,0
Stimmbezirk 43,V-Partei³,0
Stimmbezirk 43,Gesundheitsforschung,0
Stimmbezirk 43,MLPD,0
Stimmbezirk 43,DKP,0
Stimmbezirk 43,dieBasis,17
Stimmbezirk 43,Bündnis C,0
Stimmbezirk 43,III. Weg,0
Stimmbezirk 43,du.,0
Stimmbezirk 43,LKR,0
Stimmbezirk 43,PdH,0
Stimmbezirk 43,Team Todenhöfer,0
Stimmbezirk 43,UNABHÄNGIGE,0
Stimmbezirk 43,Volt,0
