datum,einrichtung,geschlecht,erstimpfungen,zweitimpfungen,drittimpfungen
2021-05-24,Impfzentrum,Weiblich,21376,8883,0
2021-05-24,Impfzentrum,Maennlich,17284,5854,0
2021-05-24,Impfzentrum,Divers,15,7,0
2021-05-25,Impfzentrum,Weiblich,21376,8883,0
2021-05-25,Impfzentrum,Maennlich,17284,5854,0
2021-05-25,Impfzentrum,Divers,15,7,0
2021-05-26,Impfzentrum,Weiblich,21748,10555,0
2021-05-26,Impfzentrum,Maennlich,17610,7199,0
2021-05-26,Impfzentrum,Divers,15,8,0
2021-05-27,Impfzentrum,Weiblich,21748,10555,0
2021-05-27,Impfzentrum,Maennlich,17610,7199,0
2021-05-27,Impfzentrum,Divers,15,8,0
2021-05-28,Impfzentrum,Weiblich,21798,10986,0
2021-05-28,Impfzentrum,Maennlich,17662,7607,0
2021-05-28,Impfzentrum,Divers,15,8,0
2021-05-29,Impfzentrum,Weiblich,21798,10986,0
2021-05-29,Impfzentrum,Maennlich,17662,7607,0
2021-05-29,Impfzentrum,Divers,15,8,0
2021-05-30,Impfzentrum,Weiblich,21798,10986,0
2021-05-30,Impfzentrum,Maennlich,17662,7607,0
2021-05-30,Impfzentrum,Divers,15,8,0
2021-05-31,Impfzentrum,Weiblich,21847,11256,0
2021-05-31,Impfzentrum,Maennlich,17734,7826,0
2021-05-31,Impfzentrum,Divers,15,8,0
2021-06-01,Impfzentrum,Weiblich,21912,11706,0
2021-06-01,Impfzentrum,Maennlich,17768,8218,0
2021-06-01,Impfzentrum,Divers,15,8,0
2021-06-02,Impfzentrum,Weiblich,21958,12253,0
2021-06-02,Impfzentrum,Maennlich,17817,8734,0
2021-06-02,Impfzentrum,Divers,15,8,0
2021-06-03,Impfzentrum,Weiblich,21996,12715,0
2021-06-03,Impfzentrum,Maennlich,17851,9099,0
2021-06-03,Impfzentrum,Divers,15,8,0
2021-06-04,Impfzentrum,Weiblich,21996,12715,0
2021-06-04,Impfzentrum,Maennlich,17851,9099,0
2021-06-04,Impfzentrum,Divers,15,8,0
2021-06-05,Impfzentrum,Weiblich,21996,12715,0
2021-06-05,Impfzentrum,Maennlich,17851,9099,0
2021-06-05,Impfzentrum,Divers,15,8,0
2021-06-06,Impfzentrum,Weiblich,21996,12715,0
2021-06-06,Impfzentrum,Maennlich,17851,9099,0
2021-06-06,Impfzentrum,Divers,15,8,0
2021-06-07,Impfzentrum,Weiblich,22073,14129,0
2021-06-07,Impfzentrum,Maennlich,17918,10219,0
2021-06-07,Impfzentrum,Divers,15,8,0
2021-06-08,Impfzentrum,Weiblich,22086,14303,0
2021-06-08,Impfzentrum,Maennlich,17924,10336,0
2021-06-08,Impfzentrum,Divers,15,8,0
2021-06-09,Impfzentrum,Weiblich,22141,14648,0
2021-06-09,Impfzentrum,Maennlich,17968,10639,0
2021-06-09,Impfzentrum,Divers,15,9,0
2021-06-10,Impfzentrum,Weiblich,22175,14939,0
2021-06-10,Impfzentrum,Maennlich,17998,10904,0
2021-06-10,Impfzentrum,Divers,16,10,0
2021-06-11,Impfzentrum,Weiblich,22183,15093,0
2021-06-11,Impfzentrum,Maennlich,18001,11027,0
2021-06-11,Impfzentrum,Divers,16,10,0
2021-06-14,Impfzentrum,Weiblich,22237,15934,0
2021-06-14,Impfzentrum,Maennlich,18046,11755,0
2021-06-14,Impfzentrum,Divers,17,12,0
2021-06-15,Impfzentrum,Weiblich,22258,16077,0
2021-06-15,Impfzentrum,Maennlich,18056,11886,0
2021-06-15,Impfzentrum,Divers,17,12,0
2021-06-16,Impfzentrum,Weiblich,22296,16231,0
2021-06-16,Impfzentrum,Maennlich,18074,12022,0
2021-06-16,Impfzentrum,Divers,17,12,0
2021-06-17,Impfzentrum,Weiblich,22328,16455,0
2021-06-17,Impfzentrum,Maennlich,18108,12226,0
2021-06-17,Impfzentrum,Divers,17,12,0
2021-06-21,Impfzentrum,Weiblich,22649,17002,0
2021-06-21,Impfzentrum,Maennlich,18377,12763,0
2021-06-21,Impfzentrum,Divers,17,12,0
2021-06-22,Impfzentrum,Weiblich,22751,17185,0
2021-06-22,Impfzentrum,Maennlich,18480,12937,0
2021-06-22,Impfzentrum,Divers,17,12,0
2021-06-23,Impfzentrum,Weiblich,22827,17506,0
2021-06-23,Impfzentrum,Maennlich,18560,13188,0
2021-06-23,Impfzentrum,Divers,18,12,0
2021-06-24,Impfzentrum,Weiblich,22930,17781,0
2021-06-24,Impfzentrum,Maennlich,18658,13415,0
2021-06-24,Impfzentrum,Divers,18,12,0
2021-06-25,Impfzentrum,Weiblich,23160,17907,0
2021-06-25,Impfzentrum,Maennlich,18894,13531,0
2021-06-25,Impfzentrum,Divers,18,12,0
2021-06-28,Impfzentrum,Weiblich,23621,18581,0
2021-06-28,Impfzentrum,Maennlich,19398,14214,0
2021-06-28,Impfzentrum,Divers,18,12,0
