Gemeinde;Gemeindename;Gebietsnummer;Gebietsart;Gebietsname;Bezirksnummer;Ausgezaehlt abweichend Gebiet;Ausgezaehlt abweichend AGS;Ausbleibend;Wahlberechtigte gesamt (A);Wahlberechtigte ohne Wahlschein (A1);Wahlberechtigte mit Wahlschein (A2);Wahlberechtigte nicht im WVZ (A3);Waehler gesamt (B);Waehler ohne Wahlschein;Waehler mit Wahlschein;Urnenwaehler mit Wahlschein in Urnenwahllokal;Briefwaehler mit Wahlschein in Urnenwahllokal;Stimmen ungueltige (C);Stimmen gueltige (D);D1;D3;D4;
09175111;Anzing;091751110014;BRIEFWAHLBEZIRK;Briefwahl 14, Klassenzimmer OG, O.09;0014;;;N;0;0;0;0;258;0;258;0;0;13;245;156;38;51;
09175111;Anzing;091751110015;BRIEFWAHLBEZIRK;Briefwahl 15, Klassenzimmer OG, O.07;0015;;;N;0;0;0;0;257;0;257;0;0;3;254;166;69;19;
09175111;Anzing;091751110016;BRIEFWAHLBEZIRK;Briefwahl 16, Klassenzimmer OG, O.06;0016;;;N;0;0;0;0;254;0;254;0;0;5;249;170;25;54;
09175115;Ebersberg;09175115;GEMEINDE;Ebersberg;;;;N;9428;0;0;0;6567;2462;4105;0;0;123;6444;3035;817;2592;
09175115;Ebersberg;091751150001;STIMMBEZIRK;Alter Speicher 1;0001;;;N;881;0;0;0;216;216;0;0;0;5;211;69;32;110;
09175115;Ebersberg;091751150002;STIMMBEZIRK;Alter Speicher 2;0002;;;N;927;0;0;0;267;267;0;0;0;5;262;120;43;99;
09175115;Ebersberg;091751150003;STIMMBEZIRK;Alter Speicher 3;0003;;;N;940;0;0;0;228;228;0;0;0;7;221;95;48;78;
09175115;Ebersberg;091751150004;STIMMBEZIRK;Mittelschule 1;0004;;;N;965;0;0;0;237;237;0;0;0;6;231;107;39;85;
09175115;Ebersberg;091751150005;STIMMBEZIRK;Mittelschule 2;0005;;;N;968;0;0;0;279;279;0;0;0;2;277;102;49;126;
09175115;Ebersberg;091751150006;STIMMBEZIRK;Mittelschule 3;0006;;;N;956;0;0;0;257;257;0;0;0;8;249;107;33;109;
09175115;Ebersberg;091751150007;STIMMBEZIRK;Realschule 1;0007;;;N;986;0;0;0;225;225;0;0;0;6;219;107;37;75;
09175115;Ebersberg;091751150008;STIMMBEZIRK;Realschule 2;0008;;;N;955;0;0;0;292;292;0;0;0;6;286;117;57;112;
09175115;Ebersberg;091751150009;STIMMBEZIRK;Realschule 3;0009;;;N;1018;0;0;0;250;250;0;0;0;4;246;108;39;99;
09175115;Ebersberg;091751150010;STIMMBEZIRK;Oberndorf;0010;;;N;832;0;0;0;211;211;0;0;0;2;209;115;42;52;
09175115;Ebersberg;091751150021;BRIEFWAHLBEZIRK;Briefwahl 1;0021;;;N;0;0;0;0;435;0;435;0;0;8;427;195;30;202;
09175115;Ebersberg;091751150022;BRIEFWAHLBEZIRK;Briefwahl 2;0022;;;N;0;0;0;0;359;0;359;0;0;4;355;167;28;160;
09175115;Ebersberg;091751150023;BRIEFWAHLBEZIRK;Briefwahl 3;0023;;;N;0;0;0;0;386;0;386;0;0;3;383;178;26;179;
09175115;Ebersberg;091751150024;BRIEFWAHLBEZIRK;Briefwahl 4;0024;;;N;0;0;0;0;432;0;432;0;0;8;424;218;50;156;
09175115;Ebersberg;091751150025;BRIEFWAHLBEZIRK;Briefwahl 5;0025;;;N;0;0;0;0;471;0;471;0;0;12;459;198;38;223;
09175115;Ebersberg;091751150026;BRIEFWAHLBEZIRK;Briefwahl 6;0026;;;N;0;0;0;0;407;0;407;0;0;10;397;200;39;158;
09175115;Ebersberg;091751150027;BRIEFWAHLBEZIRK;Briefwahl 7;0027;;;N;0;0;0;0;393;0;393;0;0;3;390;192;37;161;
09175115;Ebersberg;091751150028;BRIEFWAHLBEZIRK;Briefwahl 8;0028;;;N;0;0;0;0;422;0;422;0;0;5;417;223;37;157;
09175115;Ebersberg;091751150029;BRIEFWAHLBEZIRK;Briefwahl 9;0029;;;N;0;0;0;0;378;0;378;0;0;4;374;184;31;159;
09175115;Ebersberg;091751150030;BRIEFWAHLBEZIRK;Briefwahl 10;0030;;;N;0;0;0;0;422;0;422;0;0;15;407;233;82;92;
09175118;Forstinning;09175118;GEMEINDE;Forstinning;;;;N;2924;0;0;0;2107;797;1310;0;0;43;2064;1216;337;511;
09175118;Forstinning;091751180001;STIMMBEZIRK;Süd;0001;;;N;1417;0;0;0;412;412;0;0;0;8;404;199;95;110;
09175118;Forstinning;091751180002;STIMMBEZIRK;Nord;0002;;;N;1507;0;0;0;385;385;0;0;0;10;375;201;76;98;
09175118;Forstinning;091751180011;BRIEFWAHLBEZIRK;Briefwahl 1;0011;;;N;0;0;0;0;430;0;430;0;0;6;424;259;59;106;
09175118;Forstinning;091751180012;BRIEFWAHLBEZIRK;Briefwahl 2;0012;;;N;0;0;0;0;429;0;429;0;0;8;421;280;54;87;
09175118;Forstinning;091751180013;BRIEFWAHLBEZIRK;Briefwahl 3;0013;;;N;0;0;0;0;451;0;451;0;0;11;440;277;53;110;
09175122;Grafing;09175122;GEMEINDE;Grafing;;;;N;10954;0;0;0;7474;2638;4836;0;0;119;7355;3701;860;2794;
09175122;Grafing;0001;STIMMBEZIRK;Stimmbezirk 1;1;;;N;901;0;0;0;218;218;0;0;0;1;217;86;35;96;
09175122;Grafing;0002;STIMMBEZIRK;Stimmbezirk 2;2;;;N;864;0;0;0;195;195;0;0;0;2;193;72;33;88;
09175122;Grafing;0003;STIMMBEZIRK;Stimmbezirk 3;3;;;N;835;0;0;0;198;198;0;0;0;1;197;97;22;78;
09175122;Grafing;0004;STIMMBEZIRK;Stimmbezirk 4;4;;;N;894;0;0;0;201;201;0;0;0;2;199;80;36;83;
