Gebietsart;Gebietsnummer;Wahlberechtigte ohne Wahlschein;Wahlberechtigte mit Wahlschein;Wahlberechtigte nicht im Wählerverzeichnis;Wähler ohne Wahlschein;Wähler mit Wahlschein;Briefwähler in Urnenwahlgebiet erfasst;Gültige Stimmen;Ungültige Stimmen;Gruppenschlüssel;Stimmen;Gruppenschlüssel;Stimmen;Gruppenschlüssel;Stimmen;
STIMMBEZIRK;091751110004;0;0;0;216;0;0;206;10;CSU;116;AfD;41;GRÜNE;49;
BRIEFWAHLBEZIRK;091751110011;0;0;0;0;227;0;220;7;CSU;153;AfD;27;GRÜNE;40;
BRIEFWAHLBEZIRK;091751110012;0;0;0;0;259;0;250;9;CSU;171;AfD;30;GRÜNE;49;
BRIEFWAHLBEZIRK;091751110013;0;0;0;0;255;0;251;4;CSU;180;AfD;19;GRÜNE;52;
BRIEFWAHLBEZIRK;091751110014;0;0;0;0;258;0;245;13;CSU;156;AfD;38;GRÜNE;51;
BRIEFWAHLBEZIRK;091751110015;0;0;0;0;257;0;254;3;CSU;166;AfD;69;GRÜNE;19;
BRIEFWAHLBEZIRK;091751110016;0;0;0;0;254;0;249;5;CSU;170;AfD;25;GRÜNE;54;
STIMMBEZIRK;091751120001;0;0;0;569;0;0;566;3;CSU;246;AfD;112;GRÜNE;208;
STIMMBEZIRK;091751120002;0;0;0;447;0;0;442;5;CSU;192;AfD;135;GRÜNE;115;
BRIEFWAHLBEZIRK;091751120011;0;0;0;0;456;0;448;8;CSU;253;AfD;73;GRÜNE;122;
BRIEFWAHLBEZIRK;091751120012;0;0;0;0;457;0;442;15;CSU;246;AfD;72;GRÜNE;124;
BRIEFWAHLBEZIRK;091751120013;0;0;0;0;430;0;422;8;CSU;245;AfD;45;GRÜNE;132;
BRIEFWAHLBEZIRK;091751120014;0;0;0;0;351;0;349;2;CSU;186;AfD;37;GRÜNE;126;
STIMMBEZIRK;091751130101;0;0;0;300;0;0;289;11;CSU;175;AfD;56;GRÜNE;58;
BRIEFWAHLBEZIRK;091751130111;0;0;0;0;278;0;266;12;CSU;181;AfD;29;GRÜNE;56;
BRIEFWAHLBEZIRK;091751130112;0;0;0;0;286;0;275;11;CSU;184;AfD;42;GRÜNE;49;
STIMMBEZIRK;091751140201;0;0;0;308;0;0;300;8;CSU;164;AfD;52;GRÜNE;84;
