Gebietsart;Gebietsnummer;Wahlberechtigte ohne Wahlschein;Wahlberechtigte mit Wahlschein;Wahlberechtigte nicht im Wählerverzeichnis;Wähler ohne Wahlschein;Wähler mit Wahlschein;Briefwähler in Urnenwahlgebiet erfasst;Stimmabgabeart;Zeilenart;Gruppe-Schluessel;801 (Schmid);802 (Böning-Görlach);803 (Boegelein);804 (Koplin);805 (Lügering);806 (Heimisch);807 (Münnich);808 (Bleiel);809 (Eichmeier);810 (Bouderka);811 (Striewski);812 (Großner);813 (Lütje);814 (Munk);815 (Krieg);816 (Siegert);817 (Lindenthal);818 (Maas);819 (Pleitner);820 (Schärtl);821 (Schmidt-Behounek);822 (Haag);823 (Weyh);824 (Ottinger);825 (Huppertz)
STIMMBEZIRK;091751150005;477;491;0;278;1;0;URNE;ERFASSUNGSEINHEIT;Die Linke;52;42;42;44;41;37;38;43;33;37;36;36;33;36;34;36;39;26;14;10;16;13;13;17;11
STIMMBEZIRK;091751150006;516;440;0;256;1;0;URNE;ERFASSUNGSEINHEIT;Die Linke;67;53;58;56;50;51;48;49;54;46;45;43;43;43;43;43;46;32;21;15;18;17;15;22;16
STIMMBEZIRK;091751150007;572;414;0;223;2;0;URNE;ERFASSUNGSEINHEIT;Die Linke;49;42;42;42;41;37;36;36;37;36;37;37;36;36;36;33;37;24;13;12;15;13;12;12;12
STIMMBEZIRK;091751150008;515;440;0;292;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;50;40;44;40;37;40;37;43;37;39;37;37;37;37;38;36;35;25;15;13;16;13;13;13;13
STIMMBEZIRK;091751150009;614;404;0;250;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;56;42;42;43;39;48;47;51;36;42;39;42;36;39;39;39;36;26;17;10;11;10;11;14;13
STIMMBEZIRK;091751150010;393;439;0;211;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;19;18;15;15;16;15;15;19;16;18;16;19;15;18;15;18;17;12;5;5;5;10;7;5;10
STIMMBEZIRK;091751180001;787;630;0;412;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;60;40;44;38;44;38;32;38;35;36;38;35;32;33;29;34;23;15;14;11;8;14;8;15;15
STIMMBEZIRK;091751180002;762;745;0;385;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;42;43;36;33;37;33;38;34;31;40;34;33;34;33;33;35;28;18;10;9;10;11;12;10;10
STIMMBEZIRK;0001;478;423;0;218;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;49;46;46;49;46;46;49;49;44;46;46;49;43;49;43;49;46;32;18;15;15;21;13;19;16
STIMMBEZIRK;0002;440;424;0;195;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;18;18;21;15;15;18;15;25;15;15;18;15;19;17;15;12;12;8;7;4;4;8;4;4;7
