MaStRId,MaStRNummer,status,registrierungMaStR,inbetriebnahme,inbetriebnahmeGeplant,stilllegung,name,betreiber,plz,ort,strasse,hausnummer,lat,long,netzbetreiberPruefung,batterietechnologie,bruttoleistung_kW,nettonennleistung_kW,kapazitaet_kWh,einspeisung,istNotstromaggregat
4782979,SEE968103242706,In Betrieb,2021-11-23,2021-07-21,,,,,85591,Vaterstetten,,,,,true,Lithium,9.0,9.0,26.0,Teileinspeisung (einschließlich Eigenverbrauch),false
4659999,SEE969403472879,In Betrieb,2021-09-22,2021-07-30,,,,,85646,Neufarn,,,,,true,Lithium,2.66,2.66,10.49,Teileinspeisung (einschließlich Eigenverbrauch),false
4660014,SEE901503517753,In Betrieb,2021-09-22,2021-07-30,,,,,85646,Neufarn,,,,,true,Lithium,2.66,2.66,10.49,Teileinspeisung (einschließlich Eigenverbrauch),false
4606439,SEE964391088668,In Betrieb,2021-08-14,2021-08-06,,,,,85598,Baldham,,,,,true,Lithium,4.2,4.2,5.9,Teileinspeisung (einschließlich Eigenverbrauch),false
4904795,SEE934359953178,In Betrieb,2022-02-16,2021-08-17,,,,,85598,Baldham,,,,,true,Lithium,6.656,5.0,8.0,Teileinspeisung (einschließlich Eigenverbrauch),false
4833161,SEE958153184033,In Betrieb,2021-12-22,2021-08-18,,,,,85591,Vaterstetten,,,,,true,Lithium,8.26,8.0,10.2,Teileinspeisung (einschließlich Eigenverbrauch),false
4664457,SEE971622927528,In Betrieb,2021-09-24,2021-08-25,,,,,85591,Vaterstetten,,,,,true,Lithium,4.6,4.6,5.0,Teileinspeisung (einschließlich Eigenverbrauch),false
4632604,SEE922934665257,In Betrieb,2021-09-03,2021-09-02,,,,,85646,Purfing,,,,,true,Lithium,2.66,2.66,4.86,Teileinspeisung (einschließlich Eigenverbrauch),false
4654225,SEE932476011313,In Betrieb,2021-11-15,2021-09-03,,,,,85598,Baldham,,,,,true,Lithium,1.6,1.6,2.97,Teileinspeisung (einschließlich Eigenverbrauch),false
4650944,SEE993596929117,In Betrieb,2021-09-16,2021-09-08,,,,,85591,Vaterstetten,,,,,true,Lithium,4.5,4.5,10.8,Teileinspeisung (einschließlich Eigenverbrauch),false
4725825,SEE912398886312,In Betrieb,2021-10-25,2021-09-09,,,,,85591,Vaterstetten,,,,,true,Lithium,1.6,1.6,4.8,Teileinspeisung (einschließlich Eigenverbrauch),false
4692658,SEE968855050154,In Betrieb,2021-10-11,2021-09-22,,,,,85591,Vaterstetten,,,,,true,Lithium,4.5,4.5,11.0,Teileinspeisung (einschließlich Eigenverbrauch),false
4670438,SEE994891071426,In Betrieb,2021-09-28,2021-09-23,,,,,85646,Neufarn,,,,,true,Lithium,4.5,4.5,11.0,Teileinspeisung (einschließlich Eigenverbrauch),false
4680465,SEE926246288166,In Betrieb,2021-10-04,2021-09-24,,,,,85591,Vaterstetten,,,,,true,Lithium,3.4,3.4,5.0,Teileinspeisung (einschließlich Eigenverbrauch),false
4730224,SEE995451252651,In Betrieb,2021-10-27,2021-09-29,,,,,85598,Baldham,,,,,true,Lithium,5.0,5.0,8.0,Teileinspeisung (einschließlich Eigenverbrauch),false
4768426,SEE946511727053,In Betrieb,2021-11-15,2021-09-29,,,,,85598,Baldham,,,,,true,Lithium,5.0,5.0,15.0,Teileinspeisung (einschließlich Eigenverbrauch),false
6851468,SEE973573758459,In Betrieb,2023-09-12,2021-10-01,,,,,85599,Parsdorf,,,,,true,Lithium,5.0,5.0,12.0,Teileinspeisung (einschließlich Eigenverbrauch),false
4696200,SEE989563682093,In Betrieb,2021-10-12,2021-10-07,,,,,85591,Vaterstetten,,,,,true,Lithium,9.7,9.7,10.2,Teileinspeisung (einschließlich Eigenverbrauch),true
5223063,SEE995937131845,In Betrieb,2022-08-04,2021-10-07,,,,,85622,Weißenfeld,,,,,true,Lithium,7.5,7.5,17.55,Teileinspeisung (einschließlich Eigenverbrauch),true
4739715,SEE914273666811,In Betrieb,2022-06-02,2021-10-25,,,,,85598,Baldham,,,,,true,Lithium,4.5,4.5,8.75,Teileinspeisung (einschließlich Eigenverbrauch),true
