MaStRId,MaStRNummer,EEGAnlagenschluessel,status,registrierungMaStR,inbetriebnahme,inbetriebnahmeGeplant,stilllegung,name,betreiber,gebaeudeNutzung,plz,ort,strasse,hausnummer,lat,long,netzbetreiberPruefung,typ,module,ausrichtung,bruttoleistung_kW,nettonennleistung_kW,leistungsBegrenzung,EEGAusschreibung,einspeisung,mieterstrom
4021623,SEE976791733567,E2104101S000000000000089402900001,In Betrieb,2021-01-02,2017-07-07,,,,,haushalt,85591,Vaterstetten,,,,,true,gebaeude,31,Süd,8.68,7.0,70%,false,Teileinspeisung (einschließlich Eigenverbrauch),false
3326703,SEE921491004967,E2104101S000000000000090117600001,In Betrieb,2020-08-08,2017-08-22,,,,,haushalt,85598,Baldham,,,,,true,gebaeude,32,Ost-West,9.6,9.6,70%,false,Teileinspeisung (einschließlich Eigenverbrauch),false
3879218,SEE932366940761,E2104101S000000000000091388200001,In Betrieb,2020-12-14,2017-09-12,,,,,haushalt,85598,Baldham,,,,,true,gebaeude,15,Süd-West,4.5,4.0,50%,false,Teileinspeisung (einschließlich Eigenverbrauch),false
3863684,SEE912530674371,E21041015000000000000091599500001,In Betrieb,2020-12-12,2017-10-24,,,,,haushalt,85598,Baldham,,,,,true,gebaeude,31,Süd,5.4,5.4,sonstige,false,Teileinspeisung (einschließlich Eigenverbrauch),false
4003026,SEE990652794870,E2104101SS00000000000009176750000,In Betrieb,2020-12-30,2017-10-25,,,,,haushalt,85598,Baldham,,,,,true,gebaeude,18,Süd,5.4,5.4,70%,false,Teileinspeisung (einschließlich Eigenverbrauch),false
3123761,SEE997459340903,E2104101S000000000000092570600001,In Betrieb,2020-06-07,2017-10-27,,,,,landwirtschaft,85622,Weißenfeld,,,,,true,gebaeude,120,Ost,32.4,25.0,ohne,false,Teileinspeisung (einschließlich Eigenverbrauch),false
3938492,SEE921270796915,E2104101S000000000000091704900001,In Betrieb,2020-12-22,2017-11-15,,,RS VS Zweckverband,Landkreis Ebersberg,oeffentlich,85598,Baldham,,,,,true,gebaeude,,Süd,29.7,29.7,,false,Volleinspeisung,false
2019003,SEE991951596738,,In Betrieb,2019-04-29,2017-11-22,,,,,haushalt,85591,Vaterstetten,,,,,true,gebaeude,25,Süd-West,7.5,6.0,70%,false,Teileinspeisung (einschließlich Eigenverbrauch),false
3115442,SEE974187351371,E2104101S160000000000092856900001,In Betrieb,2020-06-05,2017-11-22,,,,,GHD,85599,Parsdorf,,,,,false,gebaeude,38,Ost-West,9.88,9.88,70%,false,Teileinspeisung (einschließlich Eigenverbrauch),false
2406715,SEE982308584058,E21041011000000000000291004900001,In Betrieb,2019-10-07,2017-12-06,,,,,haushalt,85598,Baldham,,,,,true,gebaeude,28,Süd-Ost,7.56,7.56,70%,false,Teileinspeisung (einschließlich Eigenverbrauch),false
